proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
P35998,27105,26321,26945,31535,34658,44753,44314,37816,30644,32646,39883,35850,19232,25054,46354,33737,39874,20399,32738,40850,33656,30788,37000,16428
P36021,0,3746.5,1869.5,0,1879.5,3180.3,1398.8,0,0,5056.5,1185.6,0,6266.1,2024.5,0,1776.9,522.66,1396.3,1959.4,4114.2,4546.1,1545.2,1797.7,0
P36222,0,0,914.9,0,0,0,2906.1,0,0,0,0,0,0,0,0,1157.5,0,0,0,0,0,0,0,0
P36269,1500.9,4393.9,4033.4,9202.6,17281,1830.1,8471.7,3744,3870.8,9271.9,3952.9,13722,5857.6,9044.8,3797.2,7049.7,12747,3231.3,1407.5,8083.4,6122.1,2664,2004.2,1430.2
P36404,2003.6,1687.8,10726,10165,14915,16022,8808.2,6833.4,14335,15355,10971,7119.2,10012,24432,9409.1,3118.9,10692,7287.3,11614,9333.1,4373.8,9578.5,26358,10462
P36405,23101,31737,33408,48723,32667,48570,35413,78318,49913,33905,68505,23261,44146,87059,62963,29988,54292,19731,32904,105840,76143,31506,41203,24565
P36406,0,1749.9,0,2328.7,1850.8,2882.7,3338.3,2610.4,2724.3,2200.4,2464.4,3059.4,2519.3,2233.5,1654.7,1878.3,1912.5,2114.4,1824.5,1815,2379,1270.5,1392.7,1224.9
P36507,5183.1,9915.5,5831,9044,2863.2,9616.1,11332,7271,7538.3,13452,8451.2,4931.4,17188,8650.2,5800.5,8181.9,9355.6,4276.2,7146.3,23526,9515.6,247.1,4132.8,6641.6
P36542,133840,75117,70791,95631,96726,239150,127880,117770,113130,140360,94399,148000,104690,138270,158160,94512,101660,115470,151370,165020,102010,120970,205510,88243
P36543,162270,58143,33718,58268,31358,107980,195940,102990,50367,138910,121170,148820,124390,83056,114680,95561,90627,140310,102680,140430,67590,103040,155430,73572
P36575,3837.5,2065.6,1500.8,4095.8,2039.6,3339.9,2814.1,4138.8,3255.7,2860.3,2825.8,3438.5,2447.5,3463.7,0,2613.7,5230,4258.2,2336.6,3000.4,3128,1528,1951.1,2253.5
P36578,6154.2,2120.3,9051.3,3883.5,3684.8,0,1791.2,0,2612.2,3487.8,5393.5,2246.7,2219.3,0,2125.7,2830.5,0,2597.1,0,10218,2719.2,3484.8,6717.2,1548.6
P36776,45916,37399,28418,57039,51809,78001,37025,54698,68114,64768,45055,39303,51608,39706,60665,38660,54106,36597,35087,123900,62227,24411,41917,17889
P36871,139180,209210,133730,272990,85763,312740,201400,291250,368260,365620,306890,243190,307200,344010,218520,167500,277100,147730,193020,400440,280230,144470,163590,131560
P36873,6967.7,5710.4,7376.6,7715.5,4698.7,17904,16532,19062,14567,17164,15094,19929,15680,7331.6,9498,13283,3683.6,13359,12331,22500,14111,11548,11283,3341.2
P36915,29891,7991.7,22792,20471,12559,16939,28817,34065,9084.8,21981,22260,28584,15159,30026,18478,14094,18656,9578,24168,35271,33440,14683,20128,12146
P36954,0,0,1181,1225.5,0,0,0,0,0,0,0,1255.4,1447.6,0,794.06,0,0,0,929.44,0,1636.6,0,614.67,0
P36955,4283.1,0,7089.7,1248.9,28050,0,1699.1,1573.2,4863.2,3024.4,1569.7,0,6087.4,3412.2,1768.4,5261.8,0,4250.3,2966.5,1513.4,10628,413.45,2856.8,2313.5
P36957,89164,70080,42665,128530,81520,128580,77504,103600,93601,127400,91310,91328,93720,120600,126960,45172,122460,96065,91826,145460,145540,59663,106010,43218
P36959,20770,13052,35478,14837,20781,8388.8,21144,39704,31612,30253,11847,11472,21288,28957,5285.4,19457,5787,26879,21196,5954.7,13652,30820,10701,19453
P36969,52305,23162,16794,51333,21874,47712,43444,52772,32488,48227,42926,63972,47821,62338,49304,38990,58685,32254,42137,59960,66349,29787,51121,26153
P37108,3242.3,5392.1,0,5905.6,3348,5104.8,3951.4,6211.8,1598.2,7308.2,6288.3,5893,4592.3,4712.9,0,5811.5,817.73,2753.9,4344.9,7911.6,6411.3,0,2786.3,2490.4
P37198,75678,172000,87967,2207.2,0,2521.4,76422,166470,115220,136310,2955.3,120840,130080,2555,118860,112000,2157.2,0,143750,3256.9,0,82765,1622.7,58743
P37235,22767,5791.2,19276,8708.7,12113,11064,25725,6467.1,1968.6,3752.2,1174.1,10621,2495.9,5884.5,4993.1,12202,4499.2,29396,26994,11321,3676.9,8285.4,14362,11198
P37802,85295,58446,123770,94657,130090,53897,109770,87522,95910,110700,84423,87630,97632,70158,58470,118090,65796,87158,93812,99946,68641,101370,65671,84957
P37837,94096,110080,97120,120400,54558,110400,144760,93808,117710,180180,160720,158840,106270,143760,129330,166960,108580,96644,115600,180930,155230,99959,97443,119010
P37840,206160,62085,59497,130280,130520,131910,116150,104960,67815,136500,136960,128870,94829,94183,99164,121170,80541,176270,218940,191460,90887,115250,231970,71445
