proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
Q9BW72,1797100,0,1408800,0,2845500,1312300,2326500,1757900,2150100,0,0,0,2558900,2308100,0,3272500
Q9BWD1,14205000,8215600,12824000,3133200,10891000,14729000,11021000,16161000,7530100,22729000,12289000,14964000,11860000,21175000,15525000,28558000
Q9BWF3,0,0,321100,0,303470,0,184600,561200,224470,248130,218610,172620,765270,218860,329250,0
Q9BWH2,0,3201300,749830,2756000,1688300,1650900,593150,1893400,2405100,2486500,1091300,1580900,2427000,3488600,1716400,1713200
Q9BWH6,138930,48629,131020,104640,38373,348800,43002,388370,33576,509810,52914,209040,26308,250950,40717,187760
Q9BWM7,35502000,80454000,22981000,33858000,42439000,35625000,27549000,40765000,36812000,57102000,30445000,46645000,33255000,58146000,52785000,52699000
Q9BWQ6,90527,0,0,81850,123220,101460,0,70385,141010,89713,0,0,193410,149740,114010,0
Q9BWQ8,1930100,1990300,645360,2272400,2144200,1379500,621650,1669800,736310,1207600,1093700,1221000,1141300,2953500,2255100,2598900
Q9BWS9,1320900,3780600,794250,93322,1553100,526030,929580,1467600,621120,472480,893710,881670,2298800,721790,1903100,2269000
Q9BX40,0,0,0,0,246540,217760,0,261580,396230,399320,260780,0,509350,381180,494320,402110
Q9BX66,12282000,7553100,9676500,2979700,6710500,5412700,11233000,11929000,14925000,10793000,9299300,8370200,21673000,20622000,16406000,19066000
