proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
O00159,-0.13614062,-1.62594275,-0.43101256,-0.58730295,0.72351911,1.20650363,-0.2941815,-0.77016002,0.11290282,-1.34951915,0.24626612,-0.29403912,-0.562657,-1.45272203,0.04583782,-0.71023698,-0.31272462,-1.74000186,-0.48652372,-1.08007494,0.20869916,0.45633369
O00160,-0.6437671,-1.2941812,-1.4066701,-0.9545091,-0.4358311,-0.5274355,-0.6103681,-0.6222449,-1.621543,-1.017756,-0.6655877,-1.0513773,-1.3799844,-1.1209593,-0.5319531,-1.2796184,-1.5748595,-1.4082418,-0.9626508,-1.6249597,-0.4887263,-0.6314813
O00161,0.395257619,0.101493059,-0.456508742,0.11856696,0.466063317,-0.002039432,0.270372178,0.325654212,0.365769634,0.233337564,0.478306381,-0.026167277,-0.304644927,-0.089509448,0.11837657,-0.251434457,0.02221626,-0.020890326,0.196878701,-0.273708799,-0.014346048,0.001687326
O00165,-1.7768287,-0.6963216,-1.5629286,-1.1107686,-1.5704732,-0.8267415,-0.6222502,-1.6883821,-1.7777998,-0.4750458,-1.5208157,-0.265749,-0.4239595,-1.2772186,-1.7972005,-0.2683449,-1.7311168,-0.4929584,-1.1189103,-1.0537797,-1.5225651,-1.7511795
O00168,-0.24472517,-1.11747152,-1.22996062,-0.01006234,-1.23750526,-1.42862493,-1.35880557,-1.35541537,-0.05672088,-0.84104612,0.14175064,-0.87466735,0.08949369,-0.94424942,-0.32569327,-1.10290873,-0.31936885,-1.23153237,-0.78594082,-1.44825121,-0.4906272,-0.09418067
O00170,1.26993413,1.45334647,0.92008989,-0.38063979,1.11134904,0.87994729,-0.37584773,0.06084846,1.16202168,1.38492732,1.34925096,1.30143867,1.4133873,-1.24605961,1.19525793,1.37053511,0.73398815,1.09363567,1.2365452,-0.65977474,0.97537543,0.4533116
O00178,-0.5778694,-0.7182191,-0.1029467,-1.2535518,-0.2527202,-0.4761175,-0.4892162,-1.8311621,-0.588069,-1.3167986,-0.9646307,-1.3504197,-1.6790248,-1.4200015,-0.8214324,-0.5144368,-0.7316852,-0.6181684,-1.2616934,-1.9239946,-0.1748277,-0.3188208
O00182,-0.16137902,-0.44788287,0.16097078,0.23370596,-0.06764587,-0.47467824,-0.19650891,-0.40760602,-0.047074,-1.05740005,0.02590457,-0.39205148,-0.0625103,-0.09035863,0.32502873,-0.11067072,0.28186098,-0.32714407,0.23659809,-1.66460317,-0.04104723,-0.0468043
O00186,0.43144914,0.45542162,0.18540546,0.27750502,0.32542979,0.31135972,0.51889097,0.2470948,0.30971311,0.44841729,0.37190645,0.36203155,0.33427607,0.32764366,0.20743307,-0.4674439,0.31112303,0.17165612,0.1279716,-0.01452828,0.24894274,0.46510092
O00194,-0.656467071,0.241882864,-0.448327421,-0.990828985,-0.287883942,-0.358397159,-0.330154557,0.393121466,-0.663819555,-0.269958643,-0.078354322,-0.071675686,0.083491108,-0.196627275,-1.67726333,-0.318045484,-1.611178931,-0.255617798,-0.300000758,-0.003106809,-0.332977696,-0.744025073
O00203,0.8223021,0.39032513,1.28604536,0.8268627,1.02866096,1.11927028,0.83401874,0.79055428,0.55403759,0.25690536,0.51437435,0.84503432,0.95038832,0.51995873,0.53809081,-0.05675394,0.81743557,0.50544201,1.08261765,0.73576521,1.03498358,0.7480513
O00213,-0.9280618,-0.5027526,-1.8064663,-1.3543101,-0.9692915,-0.6906826,-0.963369,-0.5543664,-0.8107396,-0.7185878,-0.7872863,-1.4511778,-1.7797812,-1.5207594,-0.3877275,-1.679417,-0.6982801,-0.511417,-1.3624517,-0.4289197,-0.6349075,-1.9947112
O00217,-0.3635605,0.1848153,-1.0824726,-0.6303109,-1.0900172,-1.2811372,-1.2113177,-1.2079275,0.2291534,-0.6935579,-0.1240397,-0.7271791,-1.0557868,-0.7967612,-1.316748,-0.9554206,-1.2506629,-1.0840443,-0.6384526,-1.3007635,-1.0421088,-0.5717565
O00231,1.0282855,0.1721347,1.1120543,0.1439543,1.0057328,1.0094469,0.9444239,0.8524739,0.811842,-0.3864113,0.4116759,-1.1190023,0.6324614,-1.1885843,0.4877928,-0.1045889,0.8957796,0.220336,0.8567875,0.5727395,1.0379625,0.9207741
O00232,0.040526204,0.220674083,0.781348792,-0.005305259,0.743327348,0.804440292,0.79766361,0.63194621,-0.055605522,0.174659138,-0.349492669,0.26440229,0.263051122,-0.206570962,-0.055057645,0.445160839,0.322494413,-0.24004376,0.678783553,0.572771308,0.351012971,0.397435724
O00233,0.32453747,-1.40847907,0.24467984,-0.36983753,0.34970018,0.16750853,0.19134005,-1.64642141,-0.28824918,-1.13205421,-0.10721503,-0.21323691,0.52718976,-0.27269816,-0.24608035,-1.39391633,0.09768213,-0.54340338,0.9099994,-0.01044365,0.59993083,0.46298973
O00258,0.090541063,0.726584127,0.324246852,0.414847178,0.016169463,-0.05341886,0.007146008,0.041453,0.270124269,0.615559265,0.319256549,-1.400137613,0.287495946,0.642567106,-1.989693275,0.934896752,-1.224652348,0.394481203,0.205752639,0.666918106,0.176523036,0.383732317
O00264,2.212323,1.834272,1.640245,1.938383,1.739427,1.625696,1.603527,1.685189,1.636037,2.08178,1.929114,1.951392,1.814189,2.026935,1.750672,2.569839,1.501287,1.631334,1.901182,2.209028,1.773955,2.015017
O00291,0.222637841,-1.545053318,0.292616768,0.533502771,0.374104854,0.62736429,0.580983753,0.362059991,0.100560833,-1.268629103,-0.916461072,-0.21817213,0.209170354,-0.488911225,0.134010085,-1.530490641,0.180820265,-0.14489492,0.364464819,-0.221749535,-0.273044018,-0.003533775
O00299,0.43622542,-0.71804141,0.32507013,0.08576224,0.72656731,0.80855717,0.65515473,0.39242516,1.0692309,-1.14058557,0.29427289,-0.46880103,0.22731871,-0.47630815,0.67853749,-1.40244767,1.00123428,-0.73575237,0.83112544,-1.74778724,0.44554536,0.61163998
O00303,0.375863,0.3043748,0.4389478,0.8340156,0.6425035,0.586859,0.6362863,0.4109111,0.4425347,-0.5349654,0.1011865,0.1303833,0.3469967,0.441855,0.3208367,0.0238558,0.6362092,0.2599216,0.7643782,0.6414863,0.3168654,0.2689197
O00305,-1.839985,-0.2632846,-1.6260861,-1.1739267,-1.6336307,-0.4967526,-1.7549292,-0.315207,-0.532454,-1.2371736,-1.5839733,-1.2707947,-1.5994006,-0.6414073,-1.8603566,-1.4990353,-1.7942734,-1.6276578,-1.1820683,-0.4366604,-0.5166478,-1.814336
O00330,0.118002891,0.985448187,-0.442036766,-0.885033184,-0.645769723,-0.005494958,-0.360413634,0.249619371,0.004704693,1.188324674,0.708320412,0.237243521,0.30789967,1.106662771,0.483038903,1.116627455,0.114890548,0.942003384,-0.893174815,0.831433651,0.051408443,-0.077087396
