proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
Q9HCH3,,49018000,13523000,,,27467000,13323000,54200000,55769000,12347000,24409000,7609300,16668000,4607700,40670000,4022300,35173000,25248000,,39914000,45810000,19957000
Q9HCJ1,8327600,24386000,7038700,5121800,3392200,,5779500,10253000,6900600,18571000,6901400,,,3379000,,11131000,,21251000,,25669000,7082400,5611300
Q9HCJ6,6029000,,,4091900,,9551700,,70473000,,,4169500,,4463900,4242400,,9111200,,12899000,,63214000,9981600,
Q9HCM2,,,,,,8134500,,23838000,15729000,4182700,6054700,,4445200,,6899700,,7292100,3611000,,,,4742100
Q9HCN8,10532000,,,,,4922900,5928200,7205000,,,,,,,,13786000,,,,7761200,,
Q9HCP6,2920100,56330000,,2510400,,9009900,13156000,4666400,12600000,15491000,81920000,2560300,11579000,14160000,20602000,1436400,,30598000,10562000,,13847000,8176400
Q9HCU5,193570000,59296000,69086000,23814000,76785000,79572000,99812000,88576000,94597000,60158000,78700000,32555000,46055000,29290000,130770000,192400000,76516000,50334000,16095000,180870000,77622000,109750000
Q9HD20,592760000,102850000,184470000,50171000,110220000,239500000,231530000,154820000,115290000,76749000,206180000,112370000,139690000,81157000,201960000,536700000,182330000,134360000,55742000,482400000,99416000,360580000
Q9HD23,,4757600,,,,,,,,,,,,,,7257600,,,,,,
Q9HD26,1657000,,1416300,,,4047500,,,2708600,,,,,,2638600,,5059000,,,,,2278800
Q9HD34,,,,,,3993800,,6461600,1978400,7994200,,,,,51285000,12045000,,4049600,,,,3427200
Q9HD45,109370000,134410000,65204000,26891000,64722000,99753000,98674000,61461000,82058000,87046000,75744000,48547000,30138000,78143000,113480000,642110000,86203000,64593000,3589800,274090000,59128000,157550000
Q9HD89,5616600,,2184900,,2771600,4801900,6666000,,3007000,2169300,,,,,,,8124700,1522400,6341300,,7228600,
Q9HDC9,2454100000,1281800000,788700000,309000000,1020000000,1653200000,1208700000,1400000000,1138900000,580720000,762870000,380560000,387220000,593050000,1314200000,1475900000,937390000,1261800000,186980000,1915500000,671220000,2048900000
Q9NP58,138700000,145420000,20603000,15319000,56507000,94824000,61657000,54131000,93960000,36816000,76405000,49589000,71388000,33179000,130650000,233150000,39745000,84238000,16162000,172830000,21961000,32839000
Q9NP59,7942900,,,,,,,,16735000,,4076900,,3327200,,23420000,,8260400,,,,,3078400
Q9NP72,36016000,63098000,29821000,30860000,41664000,57536000,50973000,60794000,69151000,41181000,25662000,72305000,71491000,36396000,73419000,34192000,86985000,39894000,6854400,175270000,38807000,42616000
Q9NP78,,4845000,,,,,,1280500,,5212800,,,,,,,,2224200,,,,
Q9NP79,,2283800,,,,7910400,,4839200,,,,,2250200,,38648000,,,4833100,2413000,5219300,,
Q9NP80,54911000,27334000,2770800,1567500,4137700,13489000,9334800,22552000,51921000,13458000,32149000,9735800,32660000,32861000,42606000,90225000,2836500,12834000,,5016100,4153500,26560000
Q9NP92,,,,,,7337400,10426000,10790000,,3408100,,,4019400,4152200,3906900,47537000,,,,14218000,,
Q9NP97,32071000,11206000,21339000,17298000,31763000,5636000,7747400,31262000,30082000,17845000,5587400,14551000,3614100,11573000,28705000,5396900,36081000,14808000,2842200,27736000,14849000,28133000
Q9NPA0,176770000,240090000,71400000,41645000,53079000,134720000,154050000,76958000,88867000,134540000,98139000,108320000,56763000,107040000,153040000,436160000,87031000,149300000,9122300,298370000,76814000,96841000
Q9NPF4,,,3781500,3849200,5184000,,,,,,,,2731400,3978900,,,3336200,,2033800,3838200,,4175400
Q9NPH2,,,,,,,,,,,,,,18668000,,,,1750300,,,,
Q9NPH3,11634000,2986700,8007000,6266600,1784500,72016000,22351000,4586100,1959000,,1884400,2587300,,,13537000,20425000,22818000,,4788400,18319000,,19901000
