proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43
Q92820,0,0,0,0,0,0,4329800,0,0,0,0,2176400,0,0,0,0,7898800,0,0,0,0,11314000,0,1367300,3872900,0,0,0,4236900,4165800,0,0,0,0,0,4685800,0,0,0,0,0,0,4166400
Q92823,83851000,73978000,41018000,27547000,101420000,72833000,176790000,114120000,100280000,161720000,227300000,47788000,22108000,39720000,89198000,39610000,8080900,190540000,100040000,20420000,180480000,79666000,152340000,189480000,28641000,306920,3730900,23662000,45298000,49141000,132420000,62525000,135200000,83007000,41937000,45425000,27548000,28869000,36195000,33661000,104380000,30270000,26182000
Q92841,174530000,395490000,290540000,105230000,96839000,187990000,221250000,305780000,21793000,127520000,88463000,447930000,362000000,409210000,233090000,461550000,182310000,204210000,204420000,125390000,280960000,493890000,301980000,404750000,447650000,23663000,23495000,157390000,202700000,723120000,355610000,231210000,133790000,183280000,124440000,457090000,332030000,445180000,236380000,259650000,186970000,365680000,234230000
Q92859,0,0,0,0,0,0,0,0,0,0,3199900,1578900,0,0,0,0,0,3141300,0,0,0,0,0,0,0,0,0,541670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q92878,855950,3204000,0,0,0,0,0,0,0,0,0,0,0,1227200,2495100,0,848420,6196300,995490,552330,0,0,0,832290,0,133740,0,0,846610,1141800,0,0,352370,0,0,0,0,0,2459700,0,3639600,0,0
Q92882,0,4022100,4182700,0,0,4933900,0,0,0,0,0,0,0,16938000,0,0,11741000,0,0,7949200,0,6092000,6578300,0,0,2604400,0,0,0,0,0,0,2542200,0,0,0,0,0,0,15869000,0,10605000,21283000
Q92888,66079000,134890000,5575700,8637200,7233300,159750000,64698000,79044000,0,12233000,0,46033000,60184000,53347000,69636000,198030000,47894000,11821000,60856000,32567000,84920000,118850000,78011000,45141000,0,310640,0,8905200,0,66157000,62821000,82632000,67287000,63509000,74972000,0,0,0,155600000,3369500,8464300,11034000,8073800
Q92890,0,6755600,4357800,0,0,0,0,0,0,0,0,861350,0,0,0,0,1559400,0,0,671820,0,0,5939400,0,0,134340,0,692390,0,0,0,0,0,0,0,298060,3687900,0,0,0,0,3248200,0
Q92896,0,20218000,15500000,1401900,5219700,6568400,0,11536000,1117600,4072100,6192400,6682400,7248800,21847000,6585200,27677000,12654000,4717400,8538500,4304700,0,19868000,8246200,10777000,11113000,2013700,1218900,6060300,0,9696200,7176500,0,0,4636200,0,16769000,10978000,9269200,11719000,12951000,6155400,9597200,6072400
Q92900,9863800,54003000,45751000,6258500,1848800,9126700,7606200,13027000,4090900,2272000,651980,64035000,55245000,43178000,12567000,15736000,17429000,16243000,17694000,5412700,8773900,20049000,24150000,13241000,25153000,3515100,1295600,17844000,18002000,85156000,24315000,7318400,5648000,7197600,1268000,30133000,15139000,21752000,22232000,55692000,7636500,19450000,9587600
Q92905,19996000,40850000,24065000,6239200,20537000,33410000,31339000,33901000,9245100,10491000,43915000,19605000,8703800,27636000,26411000,41888000,14870000,24376000,12138000,5830500,29727000,41523000,12246000,33547000,8470800,579990,340230,11934000,14397000,24351000,24275000,0,21096000,17997000,17164000,8464600,0,11064000,36762000,29311000,0,40062000,19743000
Q92930,2449100,4705000,6611000,806670,0,0,5375200,0,1316800,793020,11313000,1421900,0,3444500,0,0,2885900,22749000,1566400,1964900,8393400,0,4119100,13058000,3530000,142400,0,1001200,3501700,2729700,0,1420800,1626400,4227400,0,0,2986200,0,0,5858500,2168500,0,3643300
Q92945,111150000,331260000,264470000,47549000,34738000,44789000,93570000,177300000,14830000,78954000,40024000,326640000,182250000,361620000,106810000,307030000,173740000,119790000,33410000,66557000,125070000,306940000,103930000,200600000,134620000,25534000,19038000,134720000,76125000,588770000,169650000,71374000,52558000,92266000,54360000,223720000,326060000,195630000,160260000,234190000,48725000,173730000,106210000
Q92947,14340000,6696900,0,0,0,12322000,0,103080000,0,0,5491200,0,0,11585000,0,0,6233400,12840000,0,12661000,3675900,17544000,0,22875000,2447600,0,3740300,7108800,0,0,127780000,0,1614600,12584000,5048300,0,0,7078600,8276700,5141000,0,34255000,2246200
Q92973,23502000,64030000,52714000,18967000,7729400,23134000,43788000,15689000,4848300,9730100,5626100,62158000,42582000,92401000,50397000,25791000,46150000,52391000,20737000,12786000,57999000,36150000,25808000,52504000,30691000,4024800,4053300,14406000,41741000,103750000,35549000,27624000,25589000,15527000,17098000,21515000,28994000,33310000,19522000,65722000,29143000,66354000,23670000
Q92974,708650,415470,1337400,371700,12806000,965850,15363000,0,455120,16536000,45425000,15499000,0,1926800,0,0,627960,0,808640,1112200,0,0,7980900,0,5342400,177830,191450,497500,0,15088000,0,349670,358150,1227400,8593300,7996900,534710,9699600,552200,0,4272500,457020,4003400
Q92990,16696000,25806000,22811000,6385600,0,21257000,15936000,27318000,0,0,0,14250000,926860,29522000,28455000,0,10059000,0,7467300,0,0,0,12910000,14926000,1023300,1898100,136640,449760,0,2857500,18611000,0,1016900,0,16912000,620570,0,24061000,29783000,866480,22416000,0,19462000
