proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21
P40938,97861000,145360000,0,144570000,0,0,51745000,6435500,39510000,0,0,17965000,0,27891000,0,0,0,0,88440000,0,90871000
P40939,4626800000,8022500000,3108900000,1254700000,343600000,1834400000,1354700000,1820100000,2101200000,63246000,71854000,208660000,541980000,1450700000,95655000,31642000,33008000,31334000,7494500000,296100000,2558800000
P41091,1849600000,1851300000,618170000,769670000,444490000,419150000,877130000,566370000,1223400000,49570000,123140000,378660000,204050000,771510000,99938000,36419000,25783000,0,1837200000,80202000,1842500000
P41208,6520700,0,0,0,0,0,7729100,0,0,0,0,14023000,3068900,20417000,0,0,0,0,14618000,0,0
P41217,76913000,152660000,48773000,224250000,20963000,168210000,14533000,203380000,27791000,2854000,15237000,32664000,0,3009800,0,30135000,0,0,516270000,0,281370000
P41218,0,0,0,0,18555000,14149000,22653000,0,75142000,0,26555000,0,0,38378000,0,0,0,0,0,0,0
P41219,200630000,18792000,0,0,26749000,0,0,7351700,15338000,53771000,0,0,0,10616000,1597800,0,0,13663000,139850000,292270000,22414000
P41222,365650000,45040000,324030000,48069000,220710000,637010000,136930000,146580000,287020000,0,0,50159000,746600000,32924000,7567600,0,0,0,753790000,426810000,16998000
P41223,196320000,502250000,8950700,57959000,23511000,20098000,48860000,0,78319000,3269300,0,25828000,0,96579000,10659000,2016800,0,0,343100000,2541400,255230000
P41225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51345000,0,0
P41227,0,15881000,22977000,0,6043500,0,0,0,32717000,0,0,7410300,0,14841000,0,0,0,0,0,0,22449000
P41240,15057000,87513000,40385000,119780000,31726000,46438000,99173000,78896000,112790000,4025700,0,65035000,0,62119000,7344900,7060700,5800900,0,252770000,0,361330000
P41250,2052100000,717600000,660040000,566660000,90415000,335390000,532690000,288010000,250010000,43666000,29762000,105890000,68911000,65718000,75889000,14403000,21955000,0,1062300000,126250000,484680000
P41252,711170000,982030000,107230000,259290000,300190000,208370000,310980000,160290000,326890000,13482000,127410000,68772000,44080000,333670000,36449000,9078400,7076900,15852000,603340000,27109000,276480000
P41567,1196000000,1275000000,126130000,563030000,227460000,125270000,340100000,56544000,288880000,13662000,44287000,258610000,19317000,265700000,20798000,4396800,1680500,0,1179000000,75473000,1246200000
P41732,59748000,0,47883000,0,0,45796000,0,61614000,13770000,0,7032000,3546500,0,0,0,0,0,0,96584000,0,0
P41743,0,45132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25049000
P42025,1453500000,1825400000,934090000,682080000,282670000,574110000,613070000,611110000,497010000,21202000,31268000,407850000,117710000,434570000,61048000,96531000,34591000,45659000,3043200000,190750000,2323800000
P42126,841940000,608370000,198040000,217410000,64941000,62103000,226270000,135670000,272380000,25420000,56025000,25226000,63307000,129380000,70885000,16963000,18676000,70214000,702060000,54311000,514380000
P42166,3722400000,8709400000,433840000,8674400000,4124000000,837910000,2030300000,566010000,5427300000,193650000,647430000,2820000000,337830000,3607200000,245120000,343070000,150200000,110250000,6547700000,296330000,8376400000
P42167,1524900000,3597200000,79822000,2814400000,698060000,186120000,663760000,170270000,1491500000,75285000,309480000,397690000,85159000,832260000,143190000,128930000,83907000,0,2125000000,127040000,2494100000
P42224,350080000,360990000,187960000,389880000,59227000,50257000,590890000,145190000,214860000,9759300,19564000,58203000,78605000,263940000,22216000,16973000,5336700,0,261500000,448990000,321600000
P42226,0,0,6429400,0,10883000,0,0,3980200,23342000,0,0,4658900,0,0,0,0,0,0,0,0,0
P42229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355300,0,0,0,0,0
P42261,0,0,82172000,0,0,25763000,0,24314000,0,0,0,0,0,0,0,0,0,0,0,0,0
