SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
P30101,PDIA3,,,0.509,0.365,0.246,,,,,,0.82,,,0.631,0.668,0.631,3,0.0,0,0,0
Q9UQN3,CHMP2B,,,0.513,,0.246,,,,,,,,,0.631,,0.631,2,0.0,0,0,0
P60709,ACTB,,,0.408,0.314,0.231,,,,,,0.769,,,0.623,0.664,0.623,3,0.0,0,0,0
P35670,ATP7B,,,0.414,0.39,0.231,,,,,,0.881,,,0.622,0.629,0.622,3,0.0,0,0,0
P10645,CHGA,0.595,,0.241,0.445,,,0.619,0.918,,,0.634,,,,,0.619,3,0.0,0,0,0
P05231,IL6,,,0.149,0.033,0.138,,,,,,0.141,,,0.618,0.151,0.618,3,0.0,0,0,0
P28482,MAPK1,0.644,,0.238,0.049,,,0.616,0.239,,,0.178,,,,,0.616,3,0.0,0,0,0
P10809,HSPD1,,,0.35,0.298,0.215,,,,,,0.767,,,0.614,0.643,0.614,3,0.0,0,0,0
Q99497,PARK7,,,0.462,0.4,0.231,,,,,,0.88,,,0.61,0.626,0.61,3,0.0,0,0,0
P01266,TG,,,0.307,,0.2,,,,,,,,,0.604,,0.604,2,0.0,0,0,0
P05019,IGF1,,,0.107,0.221,0.108,,,,,,0.418,,,0.604,0.421,0.604,3,0.0,0,0,0
P61201,COPS2,,0.23,0.656,,,,,,0.604,,,,,,,0.604,2,0.0,0,0,0
P27361,MAPK3,0.628,,0.232,0.771,,,0.604,1.127,,,0.621,,,,,0.604,3,0.0,0,0,0
Q9UHC6,CNTNAP2,,,0.626,,0.231,,,,,,,,,0.602,,0.602,2,0.0,0,0,0
Q01959,SLC6A3,,,0.402,,0.215,,,,,,,,,0.595,,0.595,2,0.0,0,0,0
P31483,TIA1,,,0.426,0.426,0.215,,,,,,0.926,,,0.588,0.588,0.588,3,0.0,0,0,0
Q8N9L1,ZIC4,0.429,,,,0.215,,,,,,,0.588,,,,0.588,2,0.0,0,0,0
Q04917,YWHAH,0.0,,0.568,0.431,0.231,,0.077,0.008,,,0.902,-0.092,,0.601,0.617,0.586,4,0.0,0,0,0
P02686,MBP,0.628,,0.217,0.349,,,0.579,0.787,,,0.618,,,,,0.579,3,0.0,0,0,0
P60880,SNAP25,,,0.488,,0.215,,,,,,,,,0.578,,0.578,2,0.0,0,0,0
Q16787,LAMA3,,,0.514,0.405,0.215,,,,,,0.875,,,0.575,0.594,0.575,3,0.0,0,0,0
P99999,CYCS,,,0.098,0.23,0.092,,,,,,0.381,,,0.573,0.359,0.573,3,0.0,0,0,0
P21579,SYT1,,,0.411,0.435,0.2,,,,,,0.903,,,0.561,0.556,0.561,3,0.0,0,0,0
P23560,BDNF,,,0.222,0.239,0.154,,,,,,0.704,,,0.56,0.543,0.56,3,0.0,0,0,0
P55072,VCP,,,0.453,,0.2,,,,,,,,,0.553,,0.553,2,0.0,0,0,0
Q9H3Z4,DNAJC5,,,0.489,,0.2,,,,,,,,,0.548,,0.548,2,0.0,0,0,0
P16220,CREB1,0.628,,0.199,0.233,,,0.546,0.606,,,0.66,,,,,0.546,3,0.0,0,0,0
O76070,SNCG,,,0.515,0.481,0.2,,,,,,0.973,,,0.546,0.549,0.546,3,0.0,0,0,0
P63104,YWHAZ,,,0.528,0.39,0.2,,,,,,0.852,,,0.545,0.567,0.545,3,0.0,0,0,0
P12036,NEFH,,,0.432,0.37,0.185,,,,,,0.846,,,0.525,0.541,0.525,3,0.0,0,0,0
Q16539,MAPK14,0.644,,0.183,,,,0.519,,,,,,,,,0.519,2,0.0,0,0,0
Q15109,AGER,,,0.346,,0.169,,,,,,,,,0.515,,0.515,2,0.0,0,0,0
P01730,CD4,,,0.12,,0.092,,,,,,,,,0.513,,0.513,2,0.0,0,0,0
P04792,HSPB1,,,0.357,0.281,0.169,,,,,,0.734,,,0.511,0.55,0.511,3,0.0,0,0,0
P01034,CST3,,,0.413,0.382,0.169,,,,,,0.871,,,0.495,0.503,0.495,3,0.0,0,0,0
P01579,IFNG,,,0.076,0.135,0.062,,,,,,0.409,,,0.494,0.335,0.494,3,0.0,0,0,0
P36222,CHI3L1,0.631,,,,0.169,,,,,,,0.492,,,,0.492,2,0.0,0,0,0
P39905,GDNF,,,0.315,,0.154,,,,,,,,,0.491,,0.491,2,0.0,0,0,0
P00709,LALBA,,0.102,,,0.077,,,,,,,,0.491,,,0.491,2,0.0,0,0,0
P04406,GAPDH,,,0.251,0.292,0.138,,,,,,0.718,,,0.49,0.463,0.49,3,0.0,0,0,0
Q99700,ATXN2,0.595,,,,0.169,,,,,,,0.488,,,,0.488,2,0.0,0,0,0
Q05329,GAD2,,,0.375,,0.154,,,,,,,,,0.469,,0.469,2,0.0,0,0,0
Q8N3E9,PLCD3,,,0.603,,0.154,,,,,,,,,0.459,,0.459,2,0.0,0,0,0
Q9Y287,ITM2B,,,0.521,,0.154,,,,,,,,,0.453,,0.453,2,0.0,0,0,0
Q8NFT8,DNER,,,0.343,0.456,0.138,,,,,,0.799,,,0.44,0.42,0.44,3,0.0,0,0,0
P61769,B2M,,,0.26,0.365,0.123,,,,,,0.693,,,0.439,0.394,0.439,3,0.0,0,0,0
P08962,CD63,,,0.349,,0.138,,,,,,,,,0.438,,0.438,2,0.0,0,0,0
Q9P2S2,NRXN2,,,0.591,0.456,0.138,,,,,,0.932,,,0.426,0.42,0.426,3,0.0,0,0,0
O00222,GRM8,,,0.583,,0.138,,,,,,,,,0.425,,0.425,2,0.0,0,0,0
P10909,CLU,,,0.431,0.298,0.138,,,,,,0.735,,,0.422,0.46,0.422,3,0.0,0,0,0
P08247,SYP,,,0.501,0.372,0.138,,,,,,0.832,,,0.419,0.432,0.419,3,0.0,0,0,0
Q07954,LRP1,,,0.34,0.377,0.123,,,,,,0.821,,,0.4,0.391,0.4,3,0.0,0,0,0
Q9BYD1,MRPL13,,,0.59,,0.123,,,,,,,,,0.394,,0.394,2,0.0,0,0,0
Q15043,SLC39A14,,,0.559,,0.123,,,,,,,,,0.389,,0.389,2,0.0,0,0,0
P60033,CD81,,,0.4,0.424,0.123,,,,,,0.892,,,0.387,0.385,0.387,3,0.0,0,0,0
P17677,GAP43,,,0.401,,0.123,,,,,,,,,0.387,,0.387,2,0.0,0,0,0
Q13224,GRIN2B,,,0.41,,0.123,,,,,,,,,0.386,,0.386,2,0.0,0,0,0
P02741,CRP,,,0.077,0.3,0.046,,,,,,0.27,,,0.384,0.155,0.384,3,0.0,0,0,0
P06276,BCHE,,0.0,0.169,0.269,0.215,,,,-0.123,-0.073,0.557,,-0.099,0.606,0.664,0.384,4,0.0,0,0,0
Q96KF2,PRAC1,,0.28,,,0.108,,,,,,,,0.38,,,0.38,2,0.0,0,0,0
P02787,TF,,0.038,0.3,0.325,0.015,,,,0.122,0.124,0.784,,0.225,0.02,0.027,0.366,4,0.0,0,0,0
P27338,MAOB,,,0.316,0.339,0.108,,,,,,0.802,,,0.364,0.357,0.364,3,0.0,0,0,0
P01138,NGF,,,0.339,0.303,0.108,,,,,,0.782,,,0.357,0.369,0.357,3,0.0,0,0,0
O14656,TOR1A,,,0.383,,0.108,,,,,,,,,0.349,,0.349,2,0.0,0,0,0
P01732,CD8A,,,0.087,,0.046,,,,,,,,,0.349,,0.349,2,0.0,0,0,0
P07237,P4HB,,,0.395,0.37,0.108,,,,,,0.859,,,0.347,0.351,0.347,3,0.0,0,0,0
P80108,GPLD1,,,0.415,,0.108,,,,,,,,,0.346,,0.346,2,0.0,0,0,0
P20336,RAB3A,,,0.612,,0.092,,,,,,,,,0.33,,0.33,2,0.0,0,0,0
