proteinid,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Q9BYX2,404050,506390,4026200,4605400,6255900,2755100,1121600,1498500,0,51439,279710,0,0,396080,534670,0,1685000,1433800,6405200,0,73009,667920,5059400,2019400
Q9BZ23,0,0,0,0,564830,0,0,151490,234000,310680,339610,393060,465660,458830,494520,442090,0,0,0,0,348700,214570,0,0
Q9BZ67,0,0,0,0,0,0,0,138590,770140,1676300,716640,0,347800,344030,0,252410,70151,77004,0,0,158000,0,141270,0
Q9BZA8,1705300,1967700,0,263100,960620,277910,370690,261050,706670,198240,906280,0,379700,954600,1754300,1387300,759170,791730,1450100,996850,2192700,1999600,0,0
Q9BZE1,0,0,0,0,0,0,0,0,459350,450690,107730,141080,0,0,0,0,0,0,0,0,111140,68431,0,0
Q9BZF1,0,0,0,0,0,0,0,0,279340,587080,134960,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9BZF9,0,36272,0,0,0,0,0,0,5498500,4779900,3439400,2696800,355910,0,1443400,2473500,150070,483670,0,0,0,199960,1695000,1616300
Q9BZG1,314860,277510,0,0,0,0,0,0,369580,372680,0,105630,0,0,0,0,0,0,0,0,0,0,341660,238700
Q9BZK7,496780,1049400,0,295910,326860,252410,0,0,689530,1670200,1241800,680480,0,628900,797330,950940,487190,0,466150,547990,893720,377870,859680,183910
Q9BZL4,593920,497890,0,112300,1022200,271860,249960,0,2126900,1676800,889300,231840,160880,274740,964330,799750,436790,153250,0,361380,916680,861800,0,0
Q9BZQ8,930440,300190,1445600,1581700,2127600,1610700,0,0,5933300,6041800,1296600,1566300,968910,1670900,726550,642660,1209000,1009200,0,0,1921600,1349500,371770,445480
Q9BZV1,0,0,0,0,0,0,0,0,997800,769450,810270,1900700,0,0,137980,416230,27951,0,0,0,0,0,1027700,961870
Q9BZZ5,1624500,1331300,361400,345050,667650,480500,1042400,1208000,3166000,2561500,1956300,2849100,1371000,1287900,1616000,1878200,592430,858290,576210,1536800,3357000,2177800,1697200,1705000
Q9C0C2,2331700,3326100,72020,242970,1285100,763280,1607300,1287300,9632700,11895000,1952500,2609000,2007300,2068400,5445300,3035100,2316600,1116400,5523400,5029900,5437400,2607500,2344600,1950200
Q9C0E8,218090,174310,327190,332780,621100,217310,413710,0,1195800,413480,262750,951710,598330,588320,1359100,1352800,1067300,486240,670740,0,0,166930,775740,620690
Q9C0J9,1546600,2221200,19492000,15138000,6640800,3882600,71288,0,219230,0,0,1404800,262870,2693100,0,92865,0,156490,16508000,12926000,2278500,1854100,0,0
Q9GZN8,600130,498640,210430,233480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753500,1086900,0,0
Q9GZP4,387660,406330,0,0,458890,339980,177510,175600,406810,590350,216980,107950,371080,525230,628880,705870,0,0,0,607970,1159400,773420,90055,0
Q9GZP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073200,1056900,0,0,0,0
Q9GZQ3,384240,254820,0,0,0,0,171040,0,155670,0,0,0,526000,406080,0,0,119770,329110,0,0,0,392050,362510,227350
Q9GZS3,480160,68956,0,0,0,435260,533750,1504000,1636300,889130,2066200,2442000,953070,416350,519130,297050,1010600,987580,241080,0,706720,1703200,756880,765030
Q9GZT3,1138900,1832300,0,0,537000,474960,0,0,1559000,573710,391100,1042100,1629100,1995400,1638000,1596100,457710,912930,439940,278960,1342300,1517500,637490,723910
Q9GZT4,92213,65825,0,0,1982400,1081800,117590,88591,874540,870580,417190,457190,59332,113840,3188600,3310200,520960,345910,435280,487110,1534900,929850,1063200,0
Q9GZT8,13362000,9898300,18990000,17159000,19341000,22004000,10814000,19287000,0,169860,941690,1673800,2285400,2908000,4767200,3391500,1818100,0,31611000,37726000,4397300,3347500,2315300,2905800
Q9GZT9,0,0,0,0,606010,0,0,489060,330840,949360,495130,402630,0,0,0,0,140900,0,0,0,229800,257660,206670,0
Q9GZZ1,0,0,0,0,0,0,0,93779,475480,171760,0,0,45559,0,0,195080,0,0,0,0,0,173830,0,0
Q9GZZ9,1038100,0,197860,0,422300,0,437110,444260,588910,569900,1037700,617240,674890,691580,459700,539900,227170,0,0,0,776310,647960,492740,436200
Q9H008,566930,569450,135350,0,1266600,705770,177080,443540,1031200,1142400,1027000,750620,119950,434120,1267500,1471300,1088600,619790,771400,461920,4688000,3594200,2041900,1866900
Q9H074,884220,566600,0,69715,0,567640,636510,674650,814540,972580,820520,772380,642180,728920,1136800,1099100,0,485620,0,0,1269000,1281600,307210,671510
Q9H078,0,0,164790,0,446100,162030,0,0,481940,401850,0,0,236900,148780,493940,834330,0,325670,0,0,0,0,376860,161030
Q9H098,0,0,0,0,0,0,0,0,65863,100830,0,0,0,0,260680,249410,132710,121560,0,0,1644700,1035500,0,0
Q9H0D6,597930,1388300,202600,0,347150,0,1900600,1916500,854400,534790,826490,1434400,405150,420150,277800,155440,113070,441080,54867,103390,838720,653760,242060,333460
Q9H0E2,857950,1115500,767330,191070,739850,685190,142620,292570,3391600,2648300,1834200,1048200,468190,283020,1572500,876580,1370500,1431000,167040,0,2025400,1923500,74980,0
Q9H0N5,0,0,313570,181650,316100,136720,0,0,0,554000,0,0,0,93057,354750,0,176990,266830,622030,988420,1295100,1635000,0,0
Q9H0R4,1711200,1089400,209950,264840,1169300,1160400,297230,291950,2637300,2765600,1804600,2252900,1283000,1290500,733090,1339800,615600,43580,707340,427680,3559500,4744300,577970,577860
Q9H0T7,459550,366300,0,0,409760,434530,510690,665900,0,0,0,0,293640,329650,581480,516140,0,0,0,0,0,0,0,0
Q9H0U3,0,0,218490,258590,0,0,714880,988480,2015000,2174300,446540,765480,393040,473350,653410,600760,1239200,1272200,0,0,276790,212150,755000,332860
Q9H0U4,25738000,27812000,11695000,15222000,18025000,16984000,14352000,20905000,20633000,23996000,16320000,19032000,14882000,15157000,23155000,24464000,18114000,20408000,20302000,21568000,28845000,22303000,26731000,18913000
Q9H0W5,0,0,0,0,0,0,0,0,719040,462450,514100,602510,0,0,317880,228750,151560,0,0,0,1012600,1227800,351110,0
Q9H0W9,1705100,1424700,82767,202930,593810,1031600,483470,937570,1770000,1757200,1679700,1243100,842220,273130,1614700,1552000,200200,122640,394220,525130,3163100,2657000,444460,395040
Q9H0X4,479220,472020,220290,331690,1452300,497450,0,0,1554700,2038300,316590,374280,507650,443610,815120,821150,563070,436760,2020800,2502700,1945100,963190,819800,500160
