proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
O14773,0.898013,0.8690223,0.669517,0.7693943,0.419741,0.5888286,0.725655,0.6028392,0.884853,0.7797499,1.0321942,0.8245808,0.8678768,0.9853886,1.0032859,1.0293833,1.1611651,1.129415,0.6576607,0.746262,1.0195157,0.8997641,0.6724552,0.7276596
O14776,-0.8482317,-0.857597,-0.6424527,-0.4103579,-0.3898526,-0.3917066,-0.3455612,-0.2992303,-0.4741816,-0.6161654,-0.7209824,-0.579742,-0.6428274,-1.2062987,-0.9485798,-1.0463016,-0.7043288,-1.1683209,-0.3487517,-0.4475737,-0.870096,-0.7137786,-0.2060914,-0.3007824
O14787,-0.5081568,-0.5822408,-0.6488473,-0.7466102,-0.7169773,-0.6918751,-0.1309365,-0.2349781,-0.3606298,-0.4021864,-0.3289652,-0.2609835,-0.6417251,-0.8163146,-0.3355246,-0.2702305,-0.9032932,-0.7149837,-0.5031775,-0.5477836,-0.927463,-0.7701657,-0.6018568,-0.5472566
O14791,-0.81491136,-0.83443131,-0.02164202,-0.07839802,-0.12512013,-0.75163236,-0.84984018,-0.79400461,-1.2246342,-1.91432466,-1.11699086,-0.86848163,-1.244165,-1.46702814,-1.20117385,-0.97078649,-1.23993347,-1.35560387,-0.37371323,-0.12795683,-1.04644453,-1.13873601,-0.88330236,-0.89595819
O14818,0.9037385,0.8568689,0.9886017,0.8627099,0.7555682,0.9731948,0.9720571,0.9316356,0.7054927,0.7719895,1.0631552,0.9919523,1.1055711,0.9771816,0.686983,0.8329659,0.6510887,0.6218634,0.9479133,1.0588972,1.0639729,1.1395477,0.9426062,0.9744982
O14828,-0.159260368,-0.355485303,-0.409656362,-0.380316682,-0.67067459,-1.054633107,-0.244161797,-0.280321884,0.062491536,0.055643353,0.007798407,-0.213393821,-0.235057521,-0.183858128,-0.305813242,-0.440779037,0.000780085,0.19946079,-0.264650318,-0.628422462,-0.292243061,-0.262124632,-0.777969585,-1.0881678
O14880,0.1455405,-0.05218239,0.48927296,0.58645442,0.05718429,0.2561654,0.17575059,0.13603827,0.0782828,0.04355629,0.03161673,0.10042583,0.42960695,0.24358988,0.37335548,0.40393252,0.5822431,0.64137538,0.59034499,0.54454588,0.03128729,-0.04811445,0.42605694,0.51108016
O14907,-0.37818476,-0.30667513,0.11139722,0.08634015,-0.01324933,-0.08494952,-0.56338977,-0.71168999,0.15784827,0.13112426,-0.04060759,-0.17571168,-0.06229282,-0.03914132,0.23103743,0.11479514,-0.0402006,0.01741266,-0.27088025,-0.31267199,-0.51604615,-0.42664346,0.34578959,0.29460381
O14908,-1.455667,-0.4475839,-0.9313126,-0.4911471,-0.7427631,-0.4296905,-1.2847349,-0.4265803,-0.4631563,-0.2114251,-0.5142887,-0.5257265,-0.6899824,-0.9845694,-0.8109482,-0.6862996,-1.0192788,-0.9058163,-0.5022665,-0.4165316,-1.3028657,-0.9685035,-0.4525044,-0.4397319
O14936,-0.270615635,-0.326157834,0.267907256,0.324340518,-0.191416023,-0.055661827,-0.492245602,-0.592881682,-0.061546671,-0.058674563,0.134548362,-0.77868227,-0.497277363,-0.227335868,0.167181591,-0.005950418,0.067736765,0.041291091,-0.379450709,-0.384472776,-1.111971224,-1.139305342,-0.674562004,-0.571860198
O14964,0.16951859,-0.10188149,0.06659789,0.07548982,0.19373671,-0.38491324,-0.47819774,-0.34208257,-0.02010456,0.03871373,0.01239599,0.11957375,0.15541426,0.03509195,-0.04845771,-0.11865295,0.04970234,0.03529245,-0.2484117,-0.72113281,-0.32992587,-0.46771345,0.23807645,0.23939131
