proteinId,S1,S2,S3,S4,S5,S6
P02763,5287700,1938700,8387400,529300,488430,879250
P02768,179280000,173910000,141720000,124370000,100690000,174560000
P02787,8917000,7620400,2533800,4710000,4164700,4965100
P02788,0,3004700,4872300,18465000,503310,0
P02792,9447300000,5677300000,8366000000,5857800000,8731500000,8551000000
P02794,38235000000,21665000000,27740000000,27784000000,23395000000,23310000000
P02810,5576300,0,15428000,30773000,199930,687800
P02814,0,0,252280,561440,0,0
P04003,4866600,7992300,3545600,2916400,745560,946570
P04004,795840,1633400,151780,1159900,4097900,1322900
P04040,174280000,114960000,115500000,87323000,64228000,92883000
P04075,102070000,98420000,97011000,107810000,137870000,188340000
P04080,1589100,1139500,2911900,4631200,3775800,1916100
P04083,857920,722150,0,5173200,2055800,1402100
P04156,83175000,40287000,73129000,67514000,22726000,58372000
P04179,57135000,51312000,45206000,45393000,67279000,65451000
P04216,68043000,45019000,69870000,61298000,59069000,79003000
P04264,2677400000,2100100000,3759200000,3722800000,2989700000,7610700000
P04271,0,0,0,0,991130,0
P04350,95232000,103610000,105930000,84938000,67830000,96263000
P04406,2365200000,2328300000,900300000,1582400000,1329800000,1152000000
P04792,5014700,4669800,4150300,7678600,10397000,12118000
P04899,39995000,27375000,41434000,36786000,20658000,43849000
P05023,40722000,49845000,37816000,38290000,60029000,49319000
P05026,77035000,77338000,71483000,73116000,97187000,74366000
P05067,0,96006000,4871100,8522400,212210000,2202500
P05089,152600,487010,905530,766460,1190700,1874900
P05090,9199000,13920000,13003000,11546000,8229900,8847900
P05091,7760500,4939800,3968800,5162900,10083000,12009000
P05109,1530200,1509400,11411000,21351000,6218300,6058800
P05129,3923200,2484700,1251500,2329900,1929900,2720800
P05141,5360000,6130600,4451700,6880400,11031000,9789000
P05164,194300,418400,786110,9761100,1168900,428570
P05230,0,0,0,0,0,0
P05413,0,0,0,0,0,3006400
P05771,808640,838300,425140,282660,1055100,1801300
P05937,362820,0,450910,498770,657340,1904300
P06239,1201500,1487400,1389500,1110800,1136600,1358400
P06310,5105500,2559000,0,3060100,0,2151700
P06396,82536000,68903000,86804000,66312000,38820000,67430000
P06576,69689000,59304000,61203000,70251000,140130000,164340000
P06702,0,2000600,3615700,23302000,421190,5984600
