proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Q15118,37224000,13853000,51299000,39153000,15725000,0,20832000,12411000,10174000,0,0,0,28941000,0,0,23447000,0,30764000,0,23305000
Q15119,176620000,143130000,185760000,148460000,81282000,378100000,156700000,294530000,99804000,171360000,60131000,181170000,165640000,102900000,56339000,178670000,17277000,231100000,428120000,503790000
Q15120,363810000,279210000,446390000,389540000,93214000,468010000,326780000,175100000,337580000,170720000,37076000,188160000,267900000,342290000,448530000,152760000,111220000,326900000,850180000,934010000
Q15121,9674800000,8732200000,9532400000,10147000000,11014000000,9346500000,9653600000,8460500000,7989100000,10135000000,13483000000,9007000000,9844900000,4165300000,9242600000,6634200000,6015600000,10750000000,12642000000,7763000000
Q15124,70708000,84853000,127620000,110700000,41995000,34193000,55590000,126480000,97909000,104570000,109430000,120470000,30625000,29981000,42068000,111760000,730870000,85397000,37860000,0
Q15126,883460000,1088700000,1280600000,1329200000,1345900000,1132500000,1770200000,1466600000,1194600000,1137000000,1097600000,1136400000,1364900000,1038800000,1222100000,873700000,694990000,1133900000,925180000,845720000
Q15147,7839200,11969000,0,0,0,0,0,0,0,17986000,0,0,10634000,42218000,0,0,0,0,0,6401300
Q15149,88522000000,29894000000,27867000000,92975000000,21162000000,81354000000,1.1714E+11,77986000000,42739000000,26920000000,39130000000,94440000000,47510000000,65699000000,1.0673E+11,81651000000,83061000000,36322000000,60978000000,24857000000
Q15165,2411500000,1949500000,2385400000,3024400000,2888100000,1657000000,1868700000,2764400000,1758600000,1683100000,1532200000,1854400000,1427700000,2224100000,2948600000,1233900000,845740000,1381500000,2612600000,807350000
Q15172,44834000,117590000,62557000,174820000,143210000,154860000,99567000,13623000,51884000,217030000,181800000,111760000,19324000,19319000,30815000,32245000,28886000,46756000,93118000,0
Q15173,135050000,66331000,133160000,179670000,84348000,204440000,58372000,236560000,173210000,154060000,135890000,69782000,96197000,22978000,77112000,68063000,0,131070000,74761000,116980000
Q15181,12652000000,4477700000,9387300000,6691700000,20163000000,15297000000,10924000000,13729000000,6549800000,22326000000,28482000000,12546000000,4385100000,17428000000,9301500000,20666000000,3067400000,8841900000,4743200000,2679600000
Q15185,2708300000,3187300000,4157400000,2979500000,3115700000,4247700000,1387500000,3367700000,2761700000,3631200000,4351700000,3196600000,3299800000,2720200000,3633300000,3525000000,1185100000,2950400000,3626400000,2945100000
Q15223,178600000,215190000,219900000,135660000,113900000,68754000,131200000,62704000,98985000,92634000,203260000,142080000,134800000,28187000,93722000,116980000,35476000,250410000,136770000,436270000
