proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
Q5VST9,49293000,0,61052000,0,39767000,38525000,4137400,23593000,44114000,17552000,36618000,41477000,38113000,39817000,3379800,59061000,39893000,30805000,53547000,54209000,17930000,28475000,26276000,2406400,42991000,4316600,40580000,19484000,32830000,26501000,25964000,0,44586000,36442000,32258000,21342000,46697000,37725000,0,37681000,53473000,31274000,49572000,38479000,46399000,49983000,38356000,49226000,0,1636700,32390000,4699000,0,8288600,0,0,0,61788000
Q5VT25,11581000,16608000,16457000,0,0,6983100,705840,2687700,17475000,2826400,4512200,900330,18404000,5572600,915640,4139900,7045900,4038300,9130000,3761000,0,3153400,4205500,914330,0,1013200,9408000,5382100,20475000,6780200,12320000,8896500,3536800,13399000,12911000,0,6516200,4603200,9153600,6864100,5119900,4621000,5662700,5391600,8407500,6243700,7051000,0,3511100,4555400,4482900,1185400,7824600,2723800,0,9146300,7724000,3185800
Q5VT66,6527900,11272000,0,0,1534400,8448600,798370,0,4604600,3487000,2562100,0,9768300,0,506660,2429200,3717400,1650000,13117000,13965000,0,0,3432100,0,4811900,1665800,14638000,2550800,17272000,7812800,3883200,13329000,0,3530700,0,1659500,8638300,0,6942800,5421500,12876000,4907200,13662000,2096600,22418000,0,22754000,3143000,0,2079400,2695500,0,9237300,1263500,623710,5049200,5776500,0
Q5VTR2,5521200,12655000,3047800,0,0,2288100,0,1720600,0,0,0,0,0,0,0,0,1915000,0,0,0,0,0,3320000,0,1598200,0,0,0,0,0,2348700,0,0,0,3197800,0,0,0,4122500,0,0,0,0,0,0,0,0,0,0,2069500,0,0,0,0,0,0,0,0
Q5VTU8,559060000,1174500000,469910000,0,187180000,230270000,0,56108000,289960000,123550000,191600000,101630000,299660000,163010000,0,127840000,263160000,53213000,348980000,299370000,95668000,99114000,150530000,12845000,144710000,37668000,293900000,80367000,406210000,143570000,230740000,358060000,340040000,241550000,237290000,121290000,240860000,224410000,0,215060000,591530000,107020000,367360000,178790000,846600000,458650000,470140000,214760000,388980000,133790000,105330000,18426000,236280000,106780000,23193000,204560000,182700000,0
Q5VUB5,79940000,214050000,56530000,0,28703000,14181000,5418300,22440000,22422000,21329000,49675000,12091000,32729000,26808000,14380000,39143000,67237000,61291000,34712000,24485000,28203000,5089500,52873000,3225600,25354000,9002600,31628000,37964000,38680000,29929000,22122000,91397000,44505000,16544000,12004000,41443000,20088000,14306000,54952000,19276000,14193000,30015000,21828000,10828000,36815000,38785000,27232000,8599700,48723000,36719000,13416000,3444300,18425000,2329600,600930,14355000,32905000,30774000
Q5VVQ6,9985300,35563000,19619000,0,8249700,11670000,2317700,6262000,11843000,12288000,6310500,0,9846700,9854500,2562000,6878900,12750000,7357600,9952100,12092000,5571900,7512300,8045800,13360000,6559100,3308000,8091900,12068000,11419000,13937000,7748700,15756000,17763000,13218000,13116000,4438300,16210000,11453000,20897000,15316000,24456000,18210000,17716000,12583000,32041000,16101000,8994800,14704000,9390100,9445800,5860000,4456600,10111000,10921000,6538800,10905000,11145000,9204900
Q5VVW2,0,0,3217200,0,0,0,0,0,2266600,0,0,0,1753100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5VWJ9,88298000,133950000,73330000,0,53988000,58445000,9067600,13369000,61044000,54247000,63036000,27351000,51669000,52257000,9635900,46328000,58962000,36935000,61026000,82441000,21263000,38379000,42047000,9138000,34314000,19370000,74797000,31692000,92603000,69116000,46601000,58768000,65213000,53802000,62820000,20281000,46011000,75326000,74761000,67394000,72712000,41758000,70261000,48582000,92440000,71540000,63434000,56521000,22915000,45964000,30537000,13201000,59624000,31498000,6207800,72622000,40857000,47372000
Q5VWQ8,14901000,81962000,16675000,0,0,6846800,438270,0,8621000,2420600,5788900,0,8596700,10845000,0,12949000,17198000,6128200,25271000,17622000,15388000,9734200,21952000,1059000,13847000,0,10259000,7981000,11694000,13100000,4163100,25816000,22392000,19340000,14673000,2380100,4486600,0,3476000,7107700,30552000,18052000,41225000,17945000,26854000,25883000,28158000,4268500,21929000,9493700,6741200,2823000,30050000,10146000,1983800,17097000,20431000,4658600
