proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
P49406,0,0,0,823270,11114000,0,0,0,0,0,0,20748000,23142000,0,17731000,3046800,0,34624000,6503900,13910000,0,0,0,0,0,0,0,0,0
P49407,5689300,4433500,0,0,372060000,641960000,18394000,639840000,70217000,461590000,36393000,582380000,611450000,391020000,1254200000,517100000,36425000,1876100000,36711000,218870000,13406000,35230000,288570,56442000,34582000,109200000,0,60157000,0
P49411,241330000,481730000,335090000,352840000,1539700000,7410700000,101180000,4643600000,1310400000,4603100000,779150000,2300700000,3558100000,3145900000,6151900000,3480700000,1058300000,5646500000,1102200000,911540000,19756000,314030000,3776500,327010000,555420000,823860000,399860000,521650000,72057000
P49419,71854000,297000000,68430000,138430000,5204400000,18175000000,198270000,3061800000,1278800000,1206500000,1013200000,2180700000,1191800000,2340100000,13816000000,5463800000,3400800000,4832100000,797930000,1406200000,126610000,595320000,29683000,306830000,2434000000,1477500000,719000000,699770000,42600000
P49441,0,0,0,0,0,0,9291200,0,1996500,12693000,35931000,16504000,0,25690000,11603000,0,0,91424000,0,0,0,0,0,0,0,0,0,0,0
P49458,7545900,18539000,11954000,13814000,363730000,689140000,76625000,482540000,207670000,177060000,191660000,401290000,336830000,325010000,1051000000,354290000,267230000,517090000,142480000,148200000,0,53387000,564790,45518000,41957000,182750000,72769000,73665000,0
P49585,0,0,1471900,4842000,103150000,226130000,0,46337000,54900000,29666000,16410000,121850000,32384000,116460000,405910000,174750000,20769000,406040000,82377000,66893000,0,0,0,0,3669600,0,0,0,0
P49588,7928600,21215000,0,18741000,772230000,2076500000,100950000,1250500000,131550000,622450000,145840000,1017100000,628940000,1242400000,1454600000,1633300000,180310000,2147600000,620700000,604180000,0,131220000,0,65515000,103510000,149760000,62063000,83964000,45057000
P49589,0,0,0,0,45667000,34312000,0,163790000,861300,21565000,19442000,72358000,44468000,72885000,126600000,34065000,6525500,72480000,16424000,26089000,0,0,0,0,0,0,0,0,0
P49590,0,0,0,0,0,179380000,0,10869000,0,16197000,0,11238000,19028000,0,11903000,0,0,19554000,0,0,0,0,0,0,0,0,0,0,0
P49591,29477000,48776000,36133000,8719800,241910000,729470000,88696000,556690000,378960000,373170000,180860000,1094600000,459180000,587570000,1443100000,699160000,166760000,1481100000,676330000,421170000,24952000,152520000,7376800,24035000,70722000,150160000,175050000,135320000,0
P49593,0,0,0,0,11824000,12467000,0,48681000,29700000,0,25763000,29253000,0,37171000,95658000,10475000,4032000,101510000,26851000,67474000,0,0,0,1090300,0,47000000,18596000,7547100,2011900
P49711,0,0,0,0,0,17547000,0,0,2768800,0,0,0,0,0,70485000,0,0,137990000,0,0,0,0,0,0,0,0,0,0,0
P49720,0,14783000,0,0,154720000,416130000,2696700,535560000,0,232630000,89598000,681400000,254720000,377940000,296650000,472710000,2980100,522590000,79312000,41093000,25738000,24895000,4403400,19672000,0,30853000,99025000,39850000,6599600
P49721,7589800,9899300,16957000,0,72077000,316130000,68531000,330910000,35378000,199030000,183960000,275900000,286580000,402440000,322720000,213750000,79928000,635640000,221310000,91312000,0,162680000,0,20876000,76958000,81347000,27061000,51156000,25896000
P49747,0,0,0,0,15583000,8122800,120780000,362110000,0,0,241420000,14376000,29277000,0,63001000,69972000,0,12415000,76523000,35638000,0,0,0,0,0,30641000,1976300000,110560000,451200000
P49748,38056000,94017000,77038000,51172000,210350000,805930000,73640000,197850000,295950000,401320000,924580000,536250000,583890000,427870000,768000000,389180000,260190000,670460000,358470000,412560000,41878000,113090000,5568100,119520000,184510000,228210000,218470000,117810000,100550000
P49750,0,0,0,0,22535000,125400000,0,61134000,15455000,21731000,0,48321000,0,34123000,143900000,30541000,0,157730000,9662800,0,0,0,0,0,0,0,0,0,0
P49755,58644000,68038000,66168000,51115000,543410000,1208000000,48905000,415890000,57485000,270980000,313660000,304900000,515350000,731740000,1208700000,610520000,135420000,691340000,305450000,158390000,132570000,313600000,0,112450000,249750000,18326000,32727000,17429000,0
P49756,0,0,1990300,2905700,369270000,744440000,0,307550000,135510000,263470000,0,249520000,47019000,450790000,806040000,150640000,0,905540000,329080000,23143000,0,0,0,0,0,18352000,0,53221000,0
P49757,0,0,0,0,3637900,80576000,5806500,18145000,2482800,0,0,16808000,16259000,28700000,115270000,27652000,0,101490000,39352000,3842900,0,0,0,0,0,0,4505000,0,6874600
P49770,0,0,0,0,31779000,12796000,0,25698000,0,18476000,12543000,41959000,0,26186000,0,10534000,0,31078000,20345000,0,0,0,0,0,1003000,14118000,0,3431800,0
P49773,133930000,158050000,115650000,39276000,492350000,2641100000,77559000,2097600000,78320000,1769100000,215700000,463260000,1848200000,842590000,2194100000,1311200000,61323000,2342000000,518220000,383040000,30034000,614700000,0,475890000,718020000,291480000,256440000,94476000,102410000
P49789,0,0,23287000,7337900,0,0,0,14690000,6716900,40250000,0,54093000,16387000,33710000,18576000,33129000,0,70320000,6111700,4499200,0,0,0,0,0,0,0,0,0
P49790,0,0,0,0,0,36789000,0,11303000,0,0,0,5965600,0,11792000,0,0,0,63326000,0,0,0,0,0,0,0,0,0,0,0
P49792,0,0,0,0,95629000,46548000,0,32215000,55416000,12809000,12164000,20288000,0,74831000,128540000,29995000,2970700,98892000,6767800,0,0,10218000,0,0,0,0,0,5404500,0
P49821,6778700,69756000,171030000,52672000,287310000,518400000,23008000,320460000,226520000,281590000,143930000,163400000,267460000,299400000,1302800000,201150000,174460000,1068000000,252170000,19497000,2807700,66509000,956620,50046000,7280300,65927000,11054000,18720000,14817000
P49840,0,0,0,0,0,30889000,0,6899200,3376900,0,34908000,10625000,14703000,8015400,39550000,10170000,0,40060000,0,0,0,0,0,0,0,0,0,0,0
P49841,0,0,0,0,9229400,57938000,0,0,36623000,0,0,28414000,0,0,101390000,0,0,14816000,11462000,6353100,0,0,0,0,0,0,0,0,0
P49863,0,0,0,0,0,41910000,0,0,0,0,0,0,6534500,0,26843000,17039000,0,0,0,0,0,0,0,0,0,0,0,0,0
P49902,0,0,0,0,51236000,1243900000,0,423650000,51210000,268650000,82747000,507400000,127910000,454660000,776460000,84353000,136160000,1191700000,121920000,157860000,0,0,0,4055000,15233000,0,36415000,58257000,0
P49903,0,0,0,0,10518000,89506000,0,82665000,0,21838000,1277800,60733000,91462000,45590000,247580000,68829000,24526000,388000000,7018100,15948000,0,0,0,0,0,0,0,0,0
P49908,0,0,0,0,0,0,34224000,0,0,0,397780,0,0,4450000,0,0,0,0,0,0,5694600,0,0,13743000,0,1493500,5717100,3855900,3703000
P49913,0,0,0,0,0,0,0,0,0,0,123190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P49915,0,0,0,0,72221000,279070000,0,101780000,95755000,46254000,18659000,86269000,50767000,104980000,538380000,175910000,55236000,165930000,36860000,0,0,0,0,0,0,3954800,0,0,0
P49916,0,0,0,0,0,0,0,0,3160700,0,0,0,0,4235600,1437900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P49959,0,4553200,0,0,66202000,109700000,0,40375000,103790000,23518000,32187000,94891000,31541000,171210000,183150000,50667000,59469000,408690000,35973000,13140000,0,22146000,0,15803000,10893000,482150,0,0,0
P49961,0,0,0,0,0,56806000,0,83051000,15118000,17364000,0,12501000,0,14713000,0,0,29233000,63167000,0,0,0,0,0,0,0,0,0,0,0
P50135,0,0,0,0,39284000,382340000,10431000,46876000,99063000,30928000,13203000,192550000,10015000,118680000,390400000,62920000,2201400,256950000,53257000,107120000,13905000,20168000,0,10763000,17284000,10099000,7745800,0,0
P50148,0,0,10880000,0,159320000,146820000,11761000,305050000,92370000,103360000,0,124460000,130100000,154390000,368480000,235320000,72133000,321840000,54133000,41728000,0,0,0,0,0,29156000,0,9226100,0
P50150,0,0,12085000,0,0,0,0,30076000,22291000,0,0,0,0,31338000,60060000,0,0,40235000,0,0,0,0,0,0,0,0,0,0,0
