"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","t_test_p_value"
"Q9H254",0.08316375,-0.11238154,-0.22826347,-0.09687967,-0.41864639,-0.37150774,-0.04383905,0.14735695,-0.36276603,-0.31181512,0.06635255,0.11643317,-0.06242423,0.1018066,-0.01958303,-0.31657077,-0.40028354,-0.95798773,0.01793737,-0.11742525,0.902504133660757
"Q9H267",-0.29315153,-0.21420506,-0.25084268,-0.2200956,-0.08601607,-0.43906777,-0.15864207,-0.47357411,-1.10972895,-0.84838527,-0.28895614,-0.38210769,-0.10163014,-0.41845753,-0.68175956,-0.14031954,-0.21716527,-1.04910013,-0.58230914,-0.38048732,0.532650244823388
"Q9H269",0.135541235,0.246613257,-0.15172637,-0.042472306,0.139925622,0.123739359,-0.00778111,0.128157251,0.115660571,-0.074228555,-0.011101149,0.126823654,0.007255846,0.054154119,-0.289879708,0.108368822,0.190719031,0.105071332,0.223604267,-0.106918302,0.54923957409232
"Q9H270",0.6461859,0.2995907,0.609581,0.6990393,0.7166297,0.6449771,0.6445836,0.4748774,0.6577293,0.1916795,0.3999618,0.617158,0.660622,0.5460596,0.5853578,0.6481208,0.6807727,0.7825991,0.7228724,0.2311422,0.592646312608551
"Q9H299",0.6567147,0.7180544,0.7075302,0.3004315,0.6161411,0.6429924,0.706953,0.6047752,0.6187291,0.594198,0.4046109,0.8049343,0.5651072,0.4441972,0.7196729,0.4692291,0.6273292,0.7994935,0.6962168,0.7992185,0.820674102359347
"Q9H2C0",-0.06743149,0.11931858,0.07414795,-0.11572217,0.14381095,0.05310883,0.26286015,-0.06169708,0.11517499,0.16971505,0.08205123,0.09549177,0.17329421,0.21405771,0.07140134,0.30750964,0.04663993,0.06725942,0.14061792,0.18276432,0.191049676949199
"Q9H2D6",-0.8030514,-0.652125,-0.6314988,-0.6760029,-0.8457891,-0.7070355,-1.4976485,-0.4179546,-0.5987859,-0.5966408,-0.7433297,-0.6778053,-0.6181646,-0.7831939,-0.5860493,-0.9308944,-0.7973389,-0.1336225,-0.6175981,-0.5916552,0.413648054853615
"Q9H2G2",0.04946037,-0.32830792,-0.1482375,0.14852612,-0.39999063,-0.06991462,-0.62071128,0.33426502,0.15616872,0.14815515,0.19171964,-0.28450286,-0.10253867,0.11844795,0.15867374,-0.64520598,-0.26978662,-1.37682077,0.20528805,-0.30701807,0.666447456996884
"Q9H2H8",0.17426941,-0.11804343,0.17134453,0.01944231,0.08388602,0.22529645,0.1790086,0.04666325,0.13571204,0.08682273,-1.22838159,0.01667998,0.10156237,-0.12691619,0.0142842,-0.27621974,0.0226835,0.34445615,0.1920013,0.09288293,0.241394577729758
"Q9H2K8",0.4577099,0.3934723,0.3491118,0.4358199,0.481883,0.3855884,0.6399441,0.5133107,0.4120695,0.3176212,0.5084247,0.2520316,0.4221307,0.2989303,0.2830275,0.4606407,0.1688418,0.6119736,-0.9218605,0.7008061,0.231282660685302
"Q9H2M9",0.4777193,0.5204709,0.1919497,0.3835155,0.4877626,0.4144694,0.4960539,0.3378961,0.3527331,0.3014033,0.262343,0.5323941,0.3439299,0.3060615,0.2751653,0.4466436,0.3892787,0.2729124,0.3914493,0.5723721,0.610329826701341
"Q9H2P0",-0.9171893,-0.9794055,-1.1361326,-0.9163689,-1.0822024,-0.9800634,-0.9924405,-0.8755954,-1.1485014,-1.0661332,-1.0390331,-0.8345856,-0.8855792,-1.0950456,-0.9919502,-1.0754974,-0.8678604,-1.321341,-0.9926474,-1.4665792,0.522847870907917
"Q9H2U2",0.6579567,0.5646907,0.8239248,0.5012406,0.5912222,0.6484847,0.6189287,0.3821764,0.4785546,0.6490408,0.6779106,0.6357346,0.6257537,0.6920229,0.67452,0.8639373,0.6870708,0.9004334,0.5644231,0.662166,0.054393800393469
"Q9H2W6",-0.056643336,0.011610022,-0.345778182,-0.3210386,-0.161667634,-0.23278476,-0.245477471,-0.315025575,-0.158109204,-0.320040518,-0.369478657,-0.360819672,-0.284428485,-0.341626114,-0.197418012,-0.27675232,0.089411203,-0.115817024,-1.069358128,-0.005721663,0.463255841911003
"Q9H2X9",-0.126554604,0.007188531,-0.270155627,-0.190347298,-0.107279029,-0.187559846,0.070547432,0.439715871,-0.037949818,-0.199084582,-0.532029712,0.128933224,-0.169918303,-0.229937061,-0.140349402,-0.338360751,0.113569077,-1.655609847,-0.180746516,0.309900343,0.211209295654813
"Q9H307",-0.08789551,-0.07091366,-0.48194365,-0.31612882,0.03089908,-0.12677914,-0.03183049,-0.44182238,0.05573299,0.07259778,0.0790432,0.02268709,-0.24949359,0.01985005,0.02958324,-0.51785825,-0.09819653,-0.42886544,-0.05606337,-0.715623,0.962124754068031
"Q9H313",0.41150982,0.60473395,0.45907069,0.38441068,0.38013642,0.43367762,0.64124662,0.33290497,0.4510034,0.50127257,0.54451783,0.24965494,0.44817218,0.32093814,0.29554089,0.4807791,0.33826899,-0.02296695,0.43827357,0.31326742,0.102471679983997
"Q9H3G5",-0.65832557,-0.68799774,-1.19178466,-0.22095976,-1.20896676,-1.21792702,-1.16183556,-1.18238126,-1.24020122,-1.17391025,-1.06936432,-1.14839657,-1.4084266,-1.05672339,-1.13214433,-1.04843008,-2.6351366,-0.09887088,-2.89171921,-1.04923146,0.246669569137599
