"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","t_test_p_value"
"O14744",-0.809137243,-0.960463049,0.063613291,-0.776144213,0.002260564,-1.043301589,-0.384166031,-0.975204599,-0.676397476,-0.878376167,-1.421658826,-0.894740968,-0.723768505,-0.644632696,-1.40433876,-0.59027433,-0.640708951,-0.90459924,-0.660506568,-0.401384573,-0.426411945,-1.007520159,-0.805662806,-1.099875495,-0.327903384,-1.126710555,-0.400633229,-0.669964975,-0.405741385,0.322881960521792
"O14745",-0.72250685,-0.30578319,0.7027342,0.64514354,-0.11871367,-0.38389478,0.27133794,-0.30368992,0.31984195,0.47807514,-0.6327737,0.83942926,-0.32328903,0.74341648,-0.1037509,0.07016705,0.54465148,0.11334632,0.12183224,0.03725874,0.40310109,0.34789232,0.36335207,-0.53704185,-0.06685392,0.06325296,-0.28172658,0.55518473,0.21233545,0.810006459212369
"O14773",0.703468,0.6056625,0.8887948,1.4124444,1.321463,0.1675871,1.0625741,0.7764895,1.1125647,1.1186946,0.9773625,1.3990586,1.2178366,1.4098751,1.322114,1.1900777,0.8575271,0.9731791,0.9120609,1.4482045,0.7908886,0.8580395,1.3163203,1.3587636,0.6414192,1.4849624,0.2811117,1.2882635,0.9782766,0.302269847532474
"O14776",0.1801953,0.4030975,0.5258506,0.4111734,-0.1936591,0.6397748,-0.6735158,-0.5879924,-0.5756178,-0.5011731,-0.7986922,-1.2218363,-1.2826391,-1.2992892,-1.4296836,-0.785587,-1.2676184,-0.714789,-0.2361572,-0.9911387,-1.1628547,-0.4444051,-0.9583,-0.5789953,-0.5376486,-0.5308321,-0.4867913,-0.2842874,-0.5283507,0.00432404215880538
"O14786",0.55502005,0.05994384,-0.49490025,0.20285656,-0.47613505,0.06425945,-0.32386987,-0.40706656,-0.8748263,-0.81982739,0.01907077,-1.1253745,-0.91190151,-0.74369588,-0.03165107,-0.79423849,-0.62933361,-0.62728598,-1.20656568,-1.46626486,-0.13911118,-1.22667776,-0.57105385,-0.69969389,0.54979901,-0.30190648,-0.08224188,0.33808077,-0.3799081,0.15329527373605
"O14818",1.2244293,0.8396838,0.1667231,0.8011605,0.7492713,0.4432574,0.7034305,0.5080527,1.1310844,0.8713598,0.5597447,1.091145,0.7592468,0.9536497,1.2374399,0.7689074,0.8942042,0.8011699,0.7097276,0.7784031,0.6140405,0.8957274,0.6810683,0.9837347,0.1997955,0.8358767,0.8047187,1.3334836,1.1432294,0.157075629752419
"O14828",-0.289732476,-0.120792863,-0.624729506,-0.58084239,-1.343006801,0.345493845,-0.36140061,-0.004557582,-0.251646143,0.27698501,-0.486788437,-0.325092215,0.766689606,-0.630958264,-0.883392406,-0.546447313,-0.78427109,0.013235621,-0.182166518,-0.361451559,-0.660421533,-0.411609415,-0.238177766,-0.371403522,-0.350433695,-0.529735108,1.819694317,-0.327673564,-0.348486186,0.541836077354033
"O14879",-0.71322885,0.36224742,0.1207403,0.01085967,-0.670717,-0.84187447,-0.35128944,-0.34375992,-0.68922838,-0.93185303,-1.00562355,-0.2091743,0.31755835,-0.56460967,-0.47322966,-0.1388794,-0.66553717,-0.96603755,-1.1723143,-0.97942528,-1.2455524,-0.53331831,-0.63429079,-0.53002291,-0.437922,-0.82823368,1.81969432,-0.66693824,-0.35943634,0.335521654490601
"O14880",0.174436581,-0.001867743,-0.373682947,0.371973536,0.06335121,-0.048966962,-0.084321657,-0.047799494,-0.016708372,-0.023969638,-0.329482791,0.437669894,-0.522216851,0.37727368,-0.239496264,0.009916744,0.385565845,-0.338331746,0.408042604,-0.528569139,-1.173280697,0.158639795,0.654448934,-0.338169248,0.222621218,-0.060786592,-0.142398447,0.111115317,0.219613204,0.880242104710998
"O14907",-0.64220745,-0.3927321,-0.33666607,-0.23890393,0.01691219,-0.38670516,0.16697523,-0.26251596,-0.52980888,-0.46829315,0.23970684,-0.29883292,-0.03531692,-0.08674331,-0.37590894,0.27480577,-0.352714,-0.25847586,-0.05357765,-0.20678312,0.26589594,-0.4330155,0.20296084,-0.05788863,-0.57282811,-0.49609648,1.81969432,-0.32893875,-1.0686267,0.389989314855143
"O14933",0.02580726,0.18882097,0.61919657,0.53954111,-0.18147461,0.07708376,-0.63597754,-1.05762458,-1.00653707,-0.72557084,-0.23172789,-0.34014761,-0.68016289,-0.73944367,-0.87551292,-0.4209865,-0.53486306,-0.16151735,-0.02690153,-0.30738782,-1.58507063,-0.06494928,-0.14548602,0.29296363,-0.3929755,-0.19435744,-0.46316138,-0.94411868,-0.48271429,0.307963824350477
"O14936",-0.44,-0.208,-0.557,-0.384,-0.223,-1.81,-0.868,-0.34,-0.103,-0.882,-0.287,-0.944,4.31e-11,-0.45,-1.27,-1.02,-0.378,-0.303,-0.969,-0.415,-0.418,-1.05,-0.397,-1.47,-0.733,-0.835,-0.628,-0.553,-0.835,0.557208718043218
"O14949",0.270422802,-0.418636442,0.532744739,-0.193988651,-0.357897085,-0.559064602,-0.227492336,-0.563669635,-0.18290922,-0.15995153,-0.153825409,-0.220128622,0.004649356,-0.374510718,-0.059073247,-0.597780928,-0.602552719,-0.213061505,-0.318237008,-0.372320276,-0.295913999,-0.185898471,-0.290918571,-0.186865636,1.230522291,0.032681658,0.319119692,-0.824905851,-0.010283322,0.601035148209729
"O14950",0.5212848,0.9930849,0.8508517,1.2377482,1.5476014,1.2624144,1.2388243,1.2640159,1.0719329,0.8591801,1.3132976,0.753556,0.7637888,1.0135387,1.2852786,0.8940279,1.1342058,0.8771808,0.8828702,0.6203421,1.2572851,1.1296359,0.9105853,1.1060496,0.6900817,0.9466865,0.529228,0.8058194,0.5661205,0.0107670844890594
