"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"P10606",-0.1273535,-0.1251781,-0.0939811,-0.1810595,-0.1014612,-0.1986237,0.797078552890646
"P10636",0.0927674,1.9661487,0.1855325,0.1197823,0.363018,0.3986651,0.597332354469882
"P10644",-0.9394899,-0.5648814,-0.561672,-0.5888426,-0.9694689,-0.7727663,0.19980473114978
"P10768",-0.4534383,-0.5051269,-0.6486662,-0.3443359,-0.7876928,-0.3973425,0.720479656845615
"P10809",0.2062471,0.1642452,0.4649643,0.4632721,0.5865339,0.5977937,0.149677126943344
"P10909",0.28761965,1.09123597,0.02569818,0.39661391,0.85620126,0.65338492,0.513976862060941
"P10915",2.078076,2.041421,1.505896,1.755187,1.743684,1.04218,0.466896678859183
"P11021",0.24266636,0.14770651,-0.04259775,-0.22354496,0.20176335,0.16460106,0.170111103082261
"P11047",0.8400574,0.8600965,0.8841119,1.3611885,0.9767072,0.8703729,0.572456525515707
"P11137",0.5080752,0.8607284,0.3215098,0.4465669,0.4391489,0.682205,0.935961297979341
"P11142",1.040655,1.0886736,1.0732227,0.9777754,1.0289728,1.1144266,0.687942503739728
"P11166",-0.3657849,-0.2344548,-0.4230292,-0.292982,-0.1913483,-0.231632,0.192771708321077
"P11177",-0.01834789,-0.27580814,-0.24556996,0.10841606,-0.02814029,0.11954359,0.293707730218232
"P11216",0.3876069,0.2558281,0.4374396,0.3259908,0.4714726,0.4134144,0.191466545831686
"P11233",0.28956096,0.13057404,0.10689022,0.12628596,-0.12833058,-0.02112081,0.164390833096606
"P11310",0.44057157,-0.06248129,-0.23216611,-0.08242833,-0.03010805,-0.63562164,0.61702406469638
"P11387",-0.36357274,-1.19761171,-0.35690758,-0.01870418,-0.49486475,-0.81757563,0.757500969232497
"P11413",-0.8212685,-0.5787955,-0.3514649,-0.4420077,-0.6571801,-0.8329935,0.11383392528118
"P11766",-0.4135285,-0.270617,-0.3484923,-0.4549908,-0.6861595,-0.3799004,0.445994208693735
"P12036",0.8065561,1.4210641,1.098221,0.6991171,0.7273024,0.1234261,0.222338445055022
"P12109",-0.3448469,0.2081411,-0.6340486,-0.2061112,-0.3298753,-0.5058618,0.492689982641428
"P12110",-0.8003118,-0.3388814,-1.0839579,-0.6600863,-0.8127793,-0.9480697,0.485128957301936
"P12111",-0.6736316,-0.3936176,-0.9962932,-0.6570525,-0.9376908,-0.7626304,0.457524144550446
"P12235",0.5200923,0.5880364,0.477009,0.5194115,0.7226361,0.4817411,0.648377270552688
"P12236",1.289849,1.426315,1.218897,1.402232,1.538677,1.39804,0.317258890434557
"P12268",-0.7019478,-0.3366278,-0.5820576,-0.3866054,-0.2570688,-0.6889956,0.890996207133958
"P12273",-0.5000478,-0.6324561,-1.0220279,-0.6108106,-1.208124,-1.1755857,0.0801394988309931
"P12277",1.58865,1.562279,1.629381,1.517111,1.583303,1.515026,0.698818706536798
"P12532",2.445492,2.248677,2.380286,2.243793,2.330393,2.42216,0.286765923396888
"P12814",0.3156328,0.2187793,0.3576569,0.3171654,0.5277116,0.5172546,0.0304164045534414
