"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"O00442",-0.209,-0.175,0.0909,0.115,-0.0874,-0.17,-0.122,-0.0512,-0.28,-0.0248,-0.0482,-0.0965,-0.207,1.61e-05,0.0363,0.00758,NA,0.0772167095038635
"O00445",-0.8338539,-1.0696282,-0.6557536,-0.5375088,-0.4742992,-0.3578038,-0.5976033,-0.5612189,-0.7022342,-0.8526071,-0.5053867,-0.6840486,-0.5157853,-0.7762189,-0.701966,-0.9160889,NA,0.107148021830302
"O00451",-0.853666,-0.7231618,-0.7971058,-0.6528741,-0.7209209,-0.6122105,-0.9529611,-0.5364076,-1.1833157,-0.8644965,-1.2302555,-1.5097483,-0.8716943,-1.0172423,-1.022409,-1.0217698,NA,0.0118488465472292
"O00468",0.077910389,-0.527603328,-0.206012583,-0.000144367,-0.090101846,-0.007869711,0.15937133,0.039147226,-0.059702337,-0.187676669,-0.192682024,-0.212146051,-0.378638859,-0.040515507,0.003073966,-0.653308108,NA,0.575610176469256
"O00471",-0.061010848,-0.004061999,0.003195203,-0.080063957,-0.034382098,-0.142003023,-0.116317548,-0.079003675,-0.237641621,-0.42502198,-0.206522433,-0.171650348,-0.301676753,-0.264995722,-0.224933527,-0.261392976,NA,0.000516408976673019
"O00478",-0.7503726,-1.1955776,-0.9745979,-0.7474758,-0.7478381,-0.6802206,-0.6048595,-0.7314815,-1.0275556,-1.1163827,-0.715453,-0.8714457,-0.5260316,-0.605119,-0.6326879,-0.6121977,NA,0.0175389352643546
"O00483",1.0577458,1.0290136,1.2642933,1.4182336,1.4185036,1.3592643,1.1747342,1.419669,1.2083428,1.2156729,1.224441,0.9531051,1.3628279,1.0187304,1.0375305,1.0574411,NA,0.00154278307634351
"O00487",0.19263251,0.29025652,0.38785083,0.1849154,0.13089412,0.18707173,0.24458541,-0.0832609,0.02415296,-0.13693179,-0.09658314,0.16928438,0.32130827,0.37322483,0.29509533,0.14517334,NA,0.294341201209889
"O00499",1.548482,1.723756,1.832682,1.433206,1.52385,1.517892,1.322179,1.447452,1.458824,1.451113,1.437092,1.4633,1.468222,1.61957,1.263673,1.483491,NA,0.559826166719342
"O00505",0.08123891,-0.06248575,-0.01154551,0.0976128,0.1083793,0.10006461,0.15047993,0.18268006,0.11758794,0.15970588,0.08528718,0.10147307,0.07244631,0.20491877,0.16340296,0.01623114,NA,0.550670001944741
"O00519",-0.5650271,-0.9391299,-0.2088496,-0.3403386,-0.2744755,-0.18135,-0.2476732,-0.2544806,-0.4448883,-0.2002371,-0.3841948,-0.47778,-0.1505982,-0.2196685,-0.2572889,-0.3094911,NA,0.308386550451183
