proteinId,S1,S2,S3,S4,S5,S6
,Control,Control,Control,Disease,Disease,Disease
P51149,-0.005525797,-0.452452649,-0.081111756,0.118475677,0.136548445,-0.162151974
P51553,-1.172957,-1.0251896,-0.9311349,-0.7947634,-0.7095703,-0.8849673
P51649,-0.4283399,-0.4227181,-0.463986,-0.4987829,-0.4524725,-0.4005177
P51659,0.6194483,0.3565144,0.6755513,0.3403008,0.6583693,0.6161045
P51665,0.034611495,-0.007281118,-0.213546427,-0.198474594,-0.100580515,-0.203173543
P51674,0.8159532,0.7191301,0.7702052,0.7563692,0.9426401,1.0378779
P51685,-0.8056893,-0.7961029,-0.6796938,-0.786489,-0.8457635,-0.8668057
P51888,0.3016718,1.0198013,0.297674,0.4795638,0.465025,0.3491563
P51970,-0.5684565,-0.5960525,-0.6185062,-0.6546336,-0.3427888,-0.5599044
P51991,1.0850616,0.7678498,0.6177905,0.6001043,0.5697719,0.6170897
P52272,0.08069723,0.01331852,-0.28302339,0.25356309,-0.1843674,-0.07782782
P52306,-0.42301322,-0.03269377,-0.05720968,-0.09536011,-0.31165672,-0.15872729
P52565,0.5425516,0.5370317,0.6715456,0.5135652,0.469823,0.5497675
P52597,-1.145769,-1.03854,-1.477553,-1.460528,-1.500303,-1.576787
P52758,-0.28562027,-0.20622868,0.13914016,-0.33815196,-0.15021892,0.05340573
P53396,-0.8335142,-1.0402155,-0.6558885,-0.7698296,-0.8500183,-0.7860339
P53420,-1.5845052,-0.8519807,-1.0707617,-0.3487902,-0.698708,-0.8694841
P53816,0.8594014,0.913884,1.0685522,0.9298291,0.35211,0.5637088
P54577,-1.130609,-1.220381,-1.1804,-1.229596,-1.244085,-1.321983
P54578,-0.9187428,-0.7963092,-0.8047933,-0.9125882,-0.8571017,-0.56788
P54652,1.548495,1.535165,1.728974,1.571222,1.3397,1.390519
P54920,-0.2933433,-0.1614063,-0.1306428,-0.1653572,-0.245512,-0.1486124
P55072,0.4827838,0.15921921,0.25313414,0.13806828,0.10485953,0.03960376
P55087,0.49558795,0.48750917,0.26432826,0.2881657,0.03949632,0.2118425
P55268,0.8471574,0.861107,0.8463467,1.4142693,1.1063456,1.006884
P55290,-1.0803175,-0.8679306,-0.8998006,-1.0066294,-0.6992192,-0.8853529
P55786,0.6531947,0.6576854,0.7521853,0.5878976,0.6446328,0.709558
P55809,-0.264155863,-0.170428658,-0.302472081,-0.005548367,0.053846757,0.063134192
P56134,-0.25378,-0.1738746,-0.2690574,-0.1934047,0.1516104,-0.1132153
P56199,-0.9604784,-0.5492843,-1.2179449,-0.3068369,-1.1914582,-0.5028307
P56556,-0.7517242,-0.9091883,-0.7249943,-0.5710647,-0.6828508,-0.6062428
P57088,-0.4053066,-0.226263,-0.4805753,-0.3137982,-0.1816826,-0.3316001
P59998,0.1588528,0.2011514,0.3108173,0.4114262,0.2467596,0.2505441
P60033,-0.07117633,-0.08237793,-0.01025691,-0.05618257,-0.04822222,-0.16227363
P60174,1.535193,1.552017,1.599627,1.408625,1.537561,1.494781
P60201,2.730173,2.955215,2.835612,2.917319,2.598986,2.568846
P60709,2.440833,2.437968,2.507992,2.464576,2.317866,2.347002
P60842,0.03901447,-0.18613448,0.21271822,-0.07745778,0.04247306,-0.05110076
P60866,-0.4441652,-0.3601696,-0.1642378,-0.1813886,-0.3599177,-0.4512876
P60880,1.076659,0.959551,1.141766,1.15023,1.160336,1.233177
P60900,2.01151,1.908454,1.969296,1.898814,1.926616,1.88648
P60953,-0.5833611,-0.577512,-0.5922392,-0.6207844,-0.6114944,-0.742486
P60981,0.6111557,0.742891,0.8592344,0.7461823,0.693868,0.7064525
P60983,-0.6866607,-0.6205145,-0.5146521,-0.5021411,-0.4405348,-0.4159507
P61018,-0.9806017,-0.7111494,-0.7955617,-0.8399329,-0.8012874,-0.9655238
P61019,0.038441738,0.000723385,0.244529061,0.068993988,0.177141163,0.076261266
P61026,0.7991366,0.8560947,1.0712114,0.9636023,0.6404599,0.8169337
P61088,-0.5390704,-0.4774687,-0.4950957,-0.5034472,-0.5678867,-0.5959498
P61106,0.08289821,0.13845933,0.23953191,0.18871088,0.23973058,0.23386175
P61160,-0.7122121,-0.2763792,-0.2631897,-0.2259224,-0.7352547,-0.1045434
P61163,0.18335674,0.17055835,0.43117879,0.29453939,0.04307166,0.06591051
P61204,0.30851118,0.08736427,0.29794248,-0.02084939,0.30219231,0.13244871
P61224,-0.7056819,-0.6777548,-0.8246948,-0.8453277,-0.8033925,-0.81515
P61225,-0.1222283,-0.2395469,-0.2257027,-0.1806368,-0.1435139,-0.2441724
P61247,0.11336257,0.23305959,0.09987367,0.11766147,0.35207505,0.26153398
P61266,1.354194,1.295692,1.298121,1.325552,1.46462,1.326594
P61313,1.240554,1.06988,1.031285,1.14526,1.242128,1.197912
P61353,1.369751,1.286779,1.144295,1.315633,1.341996,1.313504
P61421,-0.8003543,-0.2940487,-0.5243013,-0.5027813,0.2365266,-0.3607041
P61513,-0.3840639,-0.4451469,-0.8779947,-0.5021411,-0.396111,-0.3170757
P61604,-0.7145356,-0.4418061,-0.2377399,-0.2216962,-0.2140061,-0.2345633
P61626,-0.17961739,-0.26212311,-0.1219502,0.09194002,-0.11504157,-0.40067212
P61764,1.550511,1.419637,1.312619,1.360007,1.515431,1.422561
P61960,-0.7563123,-0.8766781,-0.7719934,-0.9193134,-1.1851017,-1.0064174
P61978,-0.03137885,-0.41760677,-0.54403874,-0.66902778,-0.43813435,-0.33119296
P61981,0.9780615,0.9880723,0.9970537,0.8946694,1.0076235,1.094705
P62140,-0.15321921,-0.0976986,0.04730154,-0.06690665,-0.14038451,-0.16291489
P62241,1.0921574,1.0176071,0.8962378,1.0454724,1.1472959,1.0365918
P62249,0.1819123,0.2504361,0.2136112,0.1111463,-0.2393145,0.1039204
P62258,1.395331,1.377414,1.430416,1.298919,1.328994,1.375216
P62266,0.5011175,0.4157494,0.3605203,0.4992828,0.6131085,0.4300912
P62269,-0.5014464,-0.4861662,-0.4637683,-0.4121217,-0.3308143,-0.4817278
P62277,-0.2192473,-0.12366979,-0.20346562,-0.01984318,0.14251938,0.03045279
P62280,-0.113529954,-0.010357617,-0.000205676,-0.008223134,-0.175230795,-0.148062507
P62304,-0.60937658,-0.6468026,-0.50062782,-0.05057881,-0.45756198,-0.69523227
P62316,-0.689422,-0.6936566,-0.6586494,-0.6070346,-0.6315599,-0.932015
P62318,0.05701054,0.17593245,0.3461371,0.32002837,-0.08318646,-0.10008522
P62424,1.1645837,1.0329086,0.9896376,1.137194,1.2370052,1.0741156
P62491,0.027722653,0.007296436,0.056249186,-0.063900078,-0.021149083,0.034457205
P62701,0.2966733,0.4028239,0.2557471,0.4151633,0.6227558,0.6047146
P62736,0.9707472,0.543869,0.8435671,1.0179743,0.8685939,0.686397
P62745,-0.1468911,-0.1204656,-0.1081542,-0.3509738,-0.5166343,-0.3094848
P62750,1.157419,1.15738,1.053736,1.18382,1.159568,1.113611
P62753,1.2270642,1.0224198,0.9177256,1.1483249,1.1028163,1.0685976
P62760,0.6913577,0.602829,0.7030652,0.5044031,0.7227254,0.6574087
P62805,1.81097,1.962668,1.827897,1.969648,1.962994,1.647555
P62826,0.5032392,0.7699092,0.7156464,0.6970065,0.8641762,0.6432989
P62834,0.2485217,0.2970812,0.3527038,0.29328,0.1061917,0.1364628
P62841,-1.4085595,-1.0238458,-0.8827808,-1.3742764,-0.4267682,-1.469868
P62847,0.05346198,-0.23409338,-0.15719755,0.05606064,0.22859981,0.09653255
P62851,-0.5465221,-0.2043177,-0.490645,-0.2826172,-0.1599515,-0.3996341
