SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q8N1L9,BATF2,,,0.675604149,0.115937042,,,,,,0.395803681,0,0,0,0
Q07812,BAX,0.610074803,0.1703701,0.459105775,0.875391245,0.491836639,0.934746329,1.116437942,0.490393572,0.546170346,0.946672313,0,0,0,0
Q9UIF8,BAZ2B,,,0.666799857,0.510378966,,,,,,0.994630643,0,0,0,0
Q3SYG4,BBS9,,,0.177326004,0.373969827,,,,,,0.523427287,0,0,0,0
Q9H6U6,BCAS3,,0.067212096,0.63661159,0.354020216,,,,0.279856296,0.229162191,0.79360395,0,0,0,0
P54687,BCAT1,0.461411912,0.048823631,0.59062616,0.649361454,0.183334846,0.93917021,0.935739958,0.220596946,0.2408808,1.086499824,0,0,1,0
Q9P287,BCCIP,,0.098295268,0.609611272,0.637661143,,,,0.343214926,0.349755574,1.107734104,0,0,0,0
P06276,BCHE,,,0.088379906,0.774531466,,,,,,0.369193516,0,0,0,0
P10415,BCL2,0.650105907,0.087718899,0.470194482,0.912262575,0.329939378,0.946594411,1.162535689,0.294202089,0.41693951,0.965117095,0,0,1,0
Q16548,BCL2A1,,,0.420268439,0.826288114,,,,,,0.892964406,0,0,0,0
Q07817,BCL2L1,,0.190242975,0.521274872,0.962703852,,,,0.526779265,0.602720148,1.031651154,0,0,0,0
P41182,BCL6,,,0.379840569,0.854970158,,,,,,0.845325322,0,0,0,0
Q6W2J9,BCOR,0.577086207,0.209750648,0.670589936,0.691220968,0.563304932,1.070845858,1.070521161,0.57001516,0.572614938,1.170192994,0,0,1,0
Q5H9F3,BCORL1,,0.103010185,0.642099729,0.384456517,,,,0.360960808,0.33547447,0.835809754,0,0,0,0
P11274,BCR,0.614522703,,,0.771258038,,,1.112914791,,,,0,0,0,0
P23560,BDNF,0.644146491,0.029840574,0.444598494,0.577806788,0.19250063,0.914772133,1.072587893,0.119061887,0.166166628,0.919074315,0,0,0,0
A6H8Y1,BDP1,,,0.561586887,0.399303011,,,,,,0.861022288,0,0,0,0
Q14457,BECN1,0.593366293,,0.437078069,0.895890823,,0.907974796,1.100988388,,,0.923095713,0,0,0,0
P55957,BID,,,0.37480601,0.852252461,,,,,,0.838395139,0,0,0,0
Q13323,BIK,,,0.493565115,0.884778418,,,,,,0.988474645,0,0,0,0
Q13490,BIRC2,0.544097612,,0.37184769,0.875099249,,0.824996275,1.044678743,,,0.838094374,0,0,0,0
Q13489,BIRC3,,,0.351055416,0.882981014,,,,,,0.812223163,0,0,0,0
O15392,BIRC5,0.421170986,0.191851604,0.539702799,0.820864065,0.541996915,0.89320936,0.893467034,0.529550752,0.567163507,1.034159751,0,0,0,0
Q9H2G9,BLZF1,,,0.616657959,0.71900987,,,,,,1.113648488,0,0,0,0
P35226,BMI1,0.617117312,0.343779411,0.712830169,0.757225251,0.77930387,1.114085107,1.115084979,0.781327763,0.784971796,1.21367337,0,0,1,0
P13497,BMP1,,,0.442024665,0.604135484,,,,,,0.913508267,0,0,0,0
P12643,BMP2,0.597814194,,0.309260962,0.783487141,,0.728597069,1.095602182,,,0.739506855,0,0,0,0
P12644,BMP4,,0.028964834,0.429128634,0.746257507,,,,0.111359393,0.233344019,0.89690983,0,0,0,0
P22004,BMP6,,,0.427010265,0.426552255,,,,,,0.926401836,0,0,0,0
P18075,BMP7,,0.005613016,0.321952255,0.644402192,,,,-0.019090798,0.13011285,0.747232185,0,0,0,0
