proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O15394,0.403834089,0.328753005,0.0474079,-0.032388998,0.185549087,0.003075811,-0.042042486,0.015163469,-0.227824652,0.338886862
O15400,0.4720708,0.7600731,-0.602982,0.2493217,0.6550259,-0.1361977,0.4023899,-0.225806,0.1819765,0.4788876
O15484,-1.3915573,-0.2181755,-1.2958412,-1.5602076,-0.8662696,-1.2659839,-1.6646431,-1.2912724,-1.459763,-1.6501036
O15498,0.02372891,-0.23429813,-0.27111026,-0.20328461,-0.33143068,-0.18026705,-0.08749044,-0.61708686,-0.23479295,-0.24952777
O43150,-1.1733507,-0.3439072,-0.3088366,-1.1469102,-0.9161091,-1.2211061,-0.8244993,-1.2824703,-1.2648535,-1.5211217
O43169,0.42210685,0.41882157,0.89953123,0.71363348,-0.04950306,0.5840642,0.45643116,0.97432407,0.69276768,0.57582172
O43175,1.253513,1.343271,1.617372,1.497445,1.634928,1.306224,1.505966,1.313928,1.143286,1.378084
O43181,1.1030392,0.4382795,1.2331266,1.4455342,0.8739124,1.3893609,1.3031116,1.4719431,1.3947634,1.1485256
O43236,-0.4388771,-0.420792,-0.4492434,-0.8697879,-0.5800232,-1.2321315,-1.21766,-0.6888093,-0.8054248,-1.2961055
O43237,0.074505061,0.642049409,0.180289673,0.004863325,0.124871523,-0.227767555,-0.189799476,-0.200859251,-0.152841601,0.368241994
O43242,0.28597739,0.37002431,0.31813042,0.29767778,0.01498007,0.10220858,0.21883821,0.20286748,0.0588882,0.2713879
O43272,0.81131119,0.05682093,1.15580708,1.39272899,0.87801953,1.30492712,1.36355799,1.3806604,1.3126226,1.05537629
O43295,-0.5881788,0.10902,0.9204698,-0.5686935,-0.2175107,0.654094,-0.7147114,0.9105773,0.995728,0.7558507
O43301,1.404544,1.082854,1.187511,1.460369,1.252548,1.390167,1.071052,1.346367,1.386962,1.456553
O43324,-0.9356325,-0.5122004,-0.1820214,-1.1842631,-0.5071272,-0.9690101,-0.9038955,-0.8598176,-0.9088663,-1.2942733
O43390,-1.3522517,-0.4224706,-1.1818688,-1.5479471,-1.273441,-1.2181737,-1.4547442,-1.0912421,-1.3093381,-1.4369932
O43396,0.107268,0.1035681,0.2465745,-0.1715531,-0.1449377,-0.102252,-0.1778187,-0.1777804,-0.2574735,-0.0802416
O43399,-0.1683484,-0.2864566,-0.5395787,-0.3825132,-0.3000826,-0.1420668,-0.5337443,-0.414805,-0.559041,-1.1448506
O43402,-0.8000318,-0.1452267,-1.0167018,-0.7024892,-0.1898751,-0.7392553,-0.4609743,-1.1063256,-0.5691524,-0.7412823
O43405,-0.3590169,-0.2108079,-0.4845364,-0.9278511,-0.617238,-0.3829528,-0.8016415,-1.134239,-0.6093504,-0.6255757
O43426,1.778155,1.964348,1.920835,2.332554,2.391088,1.791284,2.038934,2.055149,1.993872,2.087397
O43464,-0.53364141,-1.08219931,-0.21963319,-0.04725881,-0.43426751,-0.07940636,0.04732242,-0.10646812,-0.46653613,-0.35609906
O43488,0.7507622,-0.399502,0.7378633,0.8875109,0.7101197,0.7028432,0.9049751,0.8206953,0.7388765,0.7623436
O43491,0.5651491,0.8121861,0.8723186,0.5648925,0.177203,0.6275578,0.8459075,0.7899573,0.6809111,0.5625998
O43505,-0.5651018,-0.1121356,-1.0291001,-0.3437451,-0.2803465,-0.6738958,-0.4595913,-0.3744981,-1.6474272,-0.3671409
O43566,0.39504859,0.18725995,-0.67597611,-0.36096066,0.28677743,0.44135364,-0.08204578,-0.33493985,-0.01912254,0.09283162
O43581,-0.02778337,-0.06447037,-0.82109385,-0.22682472,-0.21934426,-0.17240128,-0.50528521,-0.35268247,-0.2514315,-0.18925145
O43592,-0.33066106,-0.3492705,0.62343879,-0.87617943,-1.34762841,-0.83839083,-1.38302905,-0.88454283,-0.79575758,-0.04508901
O43615,0.5653081,0.1922573,0.9333498,0.7438458,0.6740447,0.7383499,0.842517,0.9060235,1.0382166,0.6522846
O43674,0.5997399,0.202605,0.7541398,1.0062133,-0.2663759,0.6865104,0.6604455,0.9266618,0.9077635,0.4493752
O43676,1.2005204,0.4706444,1.26556,1.5967691,1.6591841,1.2820024,1.6081956,1.3744631,1.4915443,1.0489952
