proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25
Q05519,,6272000,651670,,,,,,,,,,,7922000,2931300,,,,,,4813900,,,,
Q05639,366590,6896800,5956200,,953340,,,,7296000,,,14363000,,3242700,,,31892000,,,733220,242620000,,56533000,2399000,231300000
Q05655,,,,,3100600,8995100,7819000,1855700,733040,,,,,,,,,812300,629190,17662000,4866000,4676400,8816900,466730,1030400
Q05682,107410000,379280000,137180000,227810000,266630000,418150000,206890000,576730000,132360000,20608000,90381000,32165000,193020000,184110000,101070000,67482000,49678000,217030000,724160000,1028000000,2684100000,492480000,648340000,3520500000,6908300
Q05707,38702000,37461000,13110000,27428000,2619300,112270000,17472000,198640000,12169000,523240000,,37370000,456920,535780,1866600000,4791100,318110000,97610,1107900,29672000,156350000,214790000,1687300000,3874900000,414460000
Q06033,136220,860980,,,,1404800,6610600,2232600,936840,,706990,575450,,,,,1475900,,,,,,40906000,26412000,
Q06124,1772100,16774000,37389000,10950000,7389100,21238000,12868000,9840700,13617000,2023500,,,,,4870700,,2043700,352150,15404000,18002000,19348000,18963000,30844000,29308000,31463000
Q06136,978050,,,,,,,7402900,,3577700,,,,,,,,,,,,,,9672600,2162100
Q06203,,,9967800,,,,,,,,,1938500,,,,,,2959900,,,,,,,
Q06210,,,104670000,4812000,21097000,2068900,1251300,10976000,19534000,,,10380000,,,,669940,,,5573600,21854000,8224300,23442000,621120,507530,
Q06278,65779000,,3119800,7378500,641110,,46394000,,161600,,,109180,3582400,,,3899900,,1088900,12816000,39276000,,53155000,359890,336590,
Q06323,10171000,267270000,334210000,98687000,300200000,372810000,523030000,221130000,327680000,15727000,128120000,55293000,1091200,349080000,138590000,113270000,66341000,43371000,85533000,269620000,72748000,335500000,22934000,63673000,20131000
Q06481,,288660,,,,,,,,,,32970,,,,,,,,,,,1084300,3411300,1985900
Q06787,,124910,,159880,1115500,,,,454960,,,,,,,,,,,,4545500,,,,
Q06828,60902,,,815810,11482000,1059600000,9350900,9960100,8697500,13259000,12076000,12233000,,30832000,20624000,,9851100,5444100,10915000,719920000,138480000,273500000,435940000,743090000,
Q06830,9283800,2645100000,4789300000,1289800000,1558800000,1793900000,3287500000,1691900000,3908500000,317920000,193320000,603090000,1093500000,1706500000,1823600000,1766400000,80967000,965910000,1875000000,1688300000,646220000,2858800000,2340600000,2483500000,2435200000
Q07020,1235900,388730000,222900000,187660000,98852000,7489400,19712000,27103000,229180000,29954000,16718000,38632000,86550000,142530000,91494000,60248000,9427100,153410000,170410000,17294000,13683000,85237000,26518000,148070000,12148000
Q07021,5737300,320070000,298400000,151720000,295420000,48269000,152720000,387490000,552040000,10582000,8907900,26125000,24065,72569000,20555000,30935000,59362000,47884000,30537000,76891000,18979000,83210000,38999000,55229000,161720000
Q07065,31911000,73370000,977920000,670870000,956150000,679170000,135560000,1239400000,556670000,35444000,31974000,12110000,83097000,69924000,156450000,112810000,50984000,304010000,1022800000,500020000,104280000,754410000,21861000,49114000,9003700
Q07075,,3588500,,,,408150,,12295000,2141300,,,,,,,,,,,,,,296700,441060,
Q07157,188560000,695130000,20980000,218580000,75802000,46514000,451140000,980860000,64811000,118330000,21332000,69487000,24711000,95557000,25208000,85666000,8747100,236610000,54705000,295010000,925880000,341510000,12981000,33369000,2379400
Q07507,,,,,,15507000,,,227910000,,,,,,,,,,,118370,,,,,
Q07666,26134000,141730000,72729000,80247000,165810000,72337000,75799000,118380000,89740000,11916000,160480,10699000,9749300,32442000,9048300,29855000,,23473000,54083000,88959000,239790000,103060000,5219800,13721000,1159100
Q07812,334210,32797000,100390000,47363000,52406000,69919000,26140000,86094000,91445000,7183400,,923040,7917500,56540000,41258000,13011000,3688600,22024000,31372000,63671000,26839000,40647000,7281200,5684300,4432500
Q07866,,5198900,9843800,106400000,419460000,23656000,21004000,572700000,9925700,,9954600,,7848800,425580,1617800,11558000,238890,4247.9,8017000,50065000,13841000,55100000,1992300,11746000,6868600
Q07954,175940000,103050000,77513000,276390000,957190000,142770000,634310000,949900000,1251700000,111390000,14278000,93028000,604910000,32427000,37548000,113420000,31321000,133340000,272770000,1208100000,503150000,617060000,50189000,128870000,81274000
Q07955,19603000,384290000,31746000,150740000,251410000,14623000,94152000,212160000,208560000,26747000,8834600,21919000,10394000,309140000,73681000,69089000,8838900,173250000,134290000,22994000,58421000,124790000,303420,40509000,5669100
Q07960,129630000,106660000,180980000,66233000,247510000,16541000,101630000,187400000,68536000,12549000,28250000,33121000,5201300,73977000,55139000,52062000,50035000,79988000,188890000,193400000,87665000,108810000,36742000,14196000,62650000
Q08043,,,,,,,3321600,,,,,,,,,,,,,,,,,,
Q08170,2652000,87901000,3836500,10507000,70283000,18412000,471840,54639000,12652000,,192480,56110,,1305400,12803000,24967000,,26967000,16182000,,21107000,17365000,,82556,
Q08174,,1699400,439840,,,,,,,,,,,,,,,,,,4443100,,1466500,1406100,30339000
Q08209,10460000,31795000,35900000,13038000,96077000,11393000,19803000,49403000,123080000,619260,7085200,18337000,,2393900,,4353600,23486000,12019000,4189300,11737000,8406300,21996000,431040000,23805000,1215300000
Q08211,105670000,565950000,217290000,225600000,652700000,81475000,318670000,1171300000,211540000,41316000,32140000,85399000,32332000,57824000,105540000,21657000,51688000,85205000,65783000,351190000,666400000,333470000,33520000,37924000,9177500
Q08257,49059000,60196000,134690000,860360,248130000,6316200,141520000,266400000,400320000,22591000,3575100,7439600,177740,14408000,21518000,30204000,25210000,73027000,90101000,91005000,25989000,439560000,102420000,454450000,6241500
Q08357,6737400,696040,1562300,6573100,8139500,1537900,18410000,9015300,2377300,,,,,3582500,,6296300,386030,869400,2057800,12192000,10938000,32210000,3642300,15793000,3491700
Q08378,346250,484720,10357000,4786400,34639000,5220800,1825800,93508000,24203000,1457700,,,4653400,726810,,,762170,8866100,3815800,30680000,46776000,21500000,401700,2277600,156860
